"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.70115431077497,0.548176464305991,-3.10329687891415,0.00191377555342011
"regionAS",-0.766831730344566,0.192102031385237,-3.99179396914747,6.55753339393916e-05
"regionEU",-0.420593928128798,0.188174704590825,-2.23512468927933,0.0254091639208785
"regionNA",-0.322257297409255,0.192868682093308,-1.67086379142338,0.094748584887259
"regionOC",-0.135997345188217,0.372367437104559,-0.365223517517269,0.714944564599998
"regionSA",-0.941657753261749,0.234075144348232,-4.0228865644139,5.74891889812823e-05
"early_total_time_ms",4.19154710545208e-08,1.02675011399209e-08,4.08234393970991,4.45837498453053e-05
"first_day_total_time_ms",1.22351284220973e-07,2.11462098347091e-08,5.78596756474758,7.20961255748237e-09
"early_number_of_events",0.00473915279128164,0.000400967786242971,11.8192856231346,3.10312015018344e-32
"first_day_number_of_events",-0.00592993165209698,0.000768728178198824,-7.71395119922775,1.219811318916e-14
"fieldDeviceTypeLastMOBILE_PHONE",2.01265343722936,0.15875117163412,12.6780383194147,7.82661774336554e-37
"fieldDeviceTypeLastTABLET",1.79145647294693,0.214820893241942,8.33930278340898,7.47298377504117e-17
"fieldPlatformLastANDROID_MOBILE",0.408804161139877,0.520387277767151,0.785576778306247,0.432115473335282
"fieldPlatformLastANDROID_TABLET",0.0221213652221781,0.537774959532457,0.0411349856107292,0.967188283713182
"fieldPlatformLastIOS",-2.54567545015655,0.65895504837356,-3.86320046631377,0.000111911095207062
"fieldPlatformLastIOS_MOBILE",-1.38141822464531,0.541544287835178,-2.55088689083496,0.0107449191074063
"fieldPlatformLastIOS_TABLET",-1.16707377385909,0.559858713187556,-2.08458624715217,0.0371068739312657
