"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set_number","Longterm_cutoff","Game_id"
"long_cut =  6 ; prob =  0",100,0,100,46.0852735909917,63.0936609257698,81.0387146009942,46.0852735909917,7858,0,9193,0,3,8,14,2880
"long_cut =  6 ; prob =  0.01",100,0,100,46.0852735909917,63.0936609257698,81.0387146009942,46.0852735909917,7858,0,9193,0,3,8,14,2880
"long_cut =  6 ; prob =  0.02",100,0,100,46.0852735909917,63.0936609257698,81.0387146009942,46.0852735909917,7858,0,9193,0,3,8,14,2880
"long_cut =  6 ; prob =  0.03",100,0,100,46.0852735909917,63.0936609257698,81.0387146009942,46.0852735909917,7858,0,9193,0,3,8,14,2880
"long_cut =  6 ; prob =  0.04",100,0,100,46.0852735909917,63.0936609257698,81.0387146009942,46.0852735909917,7858,0,9193,0,3,8,14,2880
"long_cut =  6 ; prob =  0.05",99.9745482311021,0,100,46.0789489119596,63.0826675231863,81.0214310760917,46.0735440736614,7856,2,9193,0,3,8,14,2880
"long_cut =  6 ; prob =  0.06",99.9745482311021,0,100,46.0789489119596,63.0826675231863,81.0214310760917,46.0735440736614,7856,2,9193,0,3,8,14,2880
"long_cut =  6 ; prob =  0.07",99.9745482311021,0,100,46.0789489119596,63.0826675231863,81.0214310760917,46.0735440736614,7856,2,9193,0,3,8,14,2880
"long_cut =  6 ; prob =  0.08",99.8472893866124,0.326335255085391,99.6736647449146,46.1285201951908,63.1037117464913,80.9851159142049,46.190839246965,7846,12,9163,30,3,8,14,2880
"long_cut =  6 ; prob =  0.09",99.8091117332655,0.435113673447188,99.5648863265528,46.1461520357731,63.1125774523216,80.9758817213183,46.2318925576213,7843,15,9153,40,3,8,14,2880
"long_cut =  6 ; prob =  0.1",99.7836599643675,0.511258566300446,99.4887414336996,46.158827338553,63.119339907426,80.9702802618807,46.2612163509472,7841,17,9146,47,3,8,14,2880
"long_cut =  6 ; prob =  0.11",99.6945787732247,0.913738714239095,99.0862612857609,46.2373841704539,63.1748719809685,80.9715762273902,46.4371591109026,7834,24,9109,84,3,8,14,2880
"long_cut =  6 ; prob =  0.12",99.6436752354289,1.14217339279887,98.8578266072011,46.2820664381132,63.2063287051986,80.9720785935884,46.5368600082107,7830,28,9088,105,3,8,14,2880
"long_cut =  6 ; prob =  0.13",99.5036905064902,1.2835853366692,98.7164146633308,46.282703918551,63.1787330316742,80.898481148864,46.548589525541,7819,39,9075,118,3,8,14,2880
