"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-31.0393573143876,686.459533737113,-0.0452165871240918,0.963934673159099
"regionAS",11.0387732958659,292.151638886452,0.0377843962742795,0.969859585457805
"regionEU",13.9234614389623,292.151425107991,0.0476583724820634,0.961988510327044
"regionNA",14.5042322516186,292.151431419124,0.049646281660043,0.96040426464971
"regionOC",13.8918044810031,292.152331229766,0.0475498669564875,0.962074987170242
"regionSA",11.9750762169195,292.153138009202,0.0409890384834487,0.967304634542355
"early_total_time_ms",2.13812902920047e-08,9.46720167271860e-09,2.25845936646926,0.0239170351254463
"first_day_total_time_ms",2.32134564686955e-08,2.47070247872515e-08,0.93954883959453,0.347449029134117
"early_number_of_events",0.00175307341174676,0.000393433481953719,4.45583177883417,8.35685437514902e-06
"first_day_number_of_events",-0.000571312892590779,0.00100336992743871,-0.569394075871065,0.569088736253084
"fieldDeviceTypeLastMOBILE_PHONE",1.28513876846419,0.314380119031783,4.0878499964378,4.35389515650385e-05
"fieldDeviceTypeLastTABLET",1.62700364900495,0.469829556075799,3.46296572440934,0.00053425644738076
"fieldPlatformLastANDROID_MOBILE",12.2149580939192,621.187804135088,0.0196638730068545,0.984311510367985
"fieldPlatformLastANDROID_TABLET",12.7227922540831,621.18788110909,0.0204813916063002,0.983659356310591
"fieldPlatformLastIOS",11.7959855794303,621.188122467417,0.0189893933138573,0.98484956679494
"fieldPlatformLastIOS_MOBILE",12.4143358040143,621.187856260913,0.0199848333783267,0.984055471361303
"fieldPlatformLastIOS_TABLET",12.0363913354015,621.187954674388,0.0193764081303068,0.984540830460212
