"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set_number","Longterm_cutoff","Game_id"
"long_cut =  10 ; prob =  0",100,0,100,4.25856405443454,8.16923596264206,18.1936647955092,4.25856405443454,726,0,16322,0,5,8,10,2880
"long_cut =  10 ; prob =  0.01",89.5316804407714,33.4395294694278,66.5604705305722,5.64530137224249,10.6209150326797,22.5412678596199,35.8282496480526,650,76,10864,5458,5,8,10,2880
"long_cut =  10 ; prob =  0.02",83.8842975206611,43.7201323367234,56.2798676632766,6.21745788667688,11.5768463073852,23.9782660051973,45.4305490380103,609,117,9186,7136,5,8,10,2880
"long_cut =  10 ; prob =  0.03",77.8236914600551,50.6616836172038,49.3383163827962,6.55604548619169,12.0933219178082,24.5183127929179,51.8183951196621,565,161,8053,8269,5,8,10,2880
"long_cut =  10 ; prob =  0.04",71.2121212121212,65.6782257076339,34.3217742923661,8.4490929890505,15.1059167275383,28.6490080904356,65.9138901923979,517,209,5602,10720,5,8,10,2880
"long_cut =  10 ; prob =  0.05",64.1873278236915,69.9056488175469,30.0943511824531,8.66493120119003,15.2686762778506,28.1333011349916,69.6621304551854,466,260,4912,11410,5,8,10,2880
"long_cut =  10 ; prob =  0.06",55.9228650137741,81.6995466241882,18.3004533758118,11.965811965812,19.7135226996844,32.2375734476735,80.6018301267011,406,320,2987,13335,5,8,10,2880
"long_cut =  10 ; prob =  0.07",45.4545454545455,86.6805538536944,13.3194461463056,13.1789137380192,20.4334365325077,30.5103550295858,84.9249178789301,330,396,2174,14148,5,8,10,2880
"long_cut =  10 ; prob =  0.08",38.2920110192837,89.6826369317486,10.3173630682514,14.1692150866463,20.6845238095238,28.5655569256062,87.4941342092914,278,448,1684,14638,5,8,10,2880
"long_cut =  10 ; prob =  0.09",33.3333333333333,91.6921945839971,8.30780541600294,15.1439299123905,20.8261617900172,26.8769435806308,89.206945096199,242,484,1356,14966,5,8,10,2880
"long_cut =  10 ; prob =  0.1",29.0633608815427,93.168729322387,6.83127067761303,15.9125188536953,20.5653021442495,24.9408983451537,90.4387611450023,211,515,1115,15207,5,8,10,2880
