"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set Number"
"long_cut =  4 ; prob =  0",100,0,100,54.8549663053033,70.8468932112314,85.8665541470216,54.8549663053033,9361,0,7704,0,3,10
"long_cut =  4 ; prob =  0.01",99.9786347612435,0,100,54.8496747348063,70.8371177717227,85.8513585411048,54.8432464107823,9359,2,7704,0,3,10
"long_cut =  4 ; prob =  0.02",99.9786347612435,0,100,54.8496747348063,70.8371177717227,85.8513585411048,54.8432464107823,9359,2,7704,0,3,10
"long_cut =  4 ; prob =  0.03",99.9679521418652,0,100,54.8470284843512,70.8322294970291,85.8437603199648,54.8373864635218,9358,3,7704,0,3,10
"long_cut =  4 ; prob =  0.04",99.9572695224869,0,100,54.8443819236856,70.82734085232,85.8361618200165,54.8315265162614,9357,4,7704,0,3,10
"long_cut =  4 ; prob =  0.05",99.9359042837304,0,100,54.8390878715048,70.8175624526874,85.8209639836339,54.8198066217404,9355,6,7704,0,3,10
"long_cut =  4 ; prob =  0.06",99.9252216643521,0,100,54.8364403798804,70.8126726976797,85.8133646471689,54.8139466744799,9354,7,7704,0,3,10
"long_cut =  4 ; prob =  0.07",99.9252216643521,0,100,54.8364403798804,70.8126726976797,85.8133646471689,54.8139466744799,9354,7,7704,0,3,10
"long_cut =  4 ; prob =  0.08",99.9038564255956,0,100,54.8311444652908,70.8028920770716,85.7981651376147,54.802226779959,9352,9,7704,0,3,10
"long_cut =  4 ; prob =  0.09",99.882491186839,0,100,54.8258473085493,70.7931099753928,85.7829645124592,54.790506885438,9350,11,7704,0,3,10
"long_cut =  4 ; prob =  0.1",99.8611259480825,0,100,54.8205489092189,70.7833263923068,85.7677627715796,54.7787869909171,9348,13,7704,0,3,10
"long_cut =  4 ; prob =  0.11",99.8504433287042,0,100,54.8178992434461,70.778434045131,85.7601614827049,54.7729270436566,9347,14,7704,0,3,10
"long_cut =  4 ; prob =  0.12",99.7970302318128,0,100,54.80464625132,70.7539667512402,85.7221508533676,54.7436273073542,9342,19,7704,0,3,10
"long_cut =  4 ; prob =  0.13",99.7756649930563,0.0389408099688473,99.9610591900312,54.8089900827416,70.7522157412317,85.7116637606681,54.7494872546147,9340,21,7701,3,3,10
"long_cut =  4 ; prob =  0.14",99.7329345155432,0.0389408099688473,99.9610591900312,54.7983799964783,70.7326312599439,85.6812466731521,54.7260474655728,9336,25,7701,3,3,10
"long_cut =  4 ; prob =  0.15",99.6688387992736,0.0389408099688473,99.9610591900312,54.7824555222829,70.7032434070931,85.6356126663607,54.69088778201,9330,31,7701,3,3,10
"long_cut =  4 ; prob =  0.16",99.647473560517,0.0389408099688473,99.9610591900312,54.777144870515,70.6934444865479,85.6203990968003,54.679167887489,9328,33,7701,3,3,10
"long_cut =  4 ; prob =  0.17",99.6261083217605,0.0778816199376947,99.9221183800623,54.781484962406,70.6916808792875,85.6098993904678,54.6850278347495,9326,35,7698,6,3,10
"long_cut =  4 ; prob =  0.18",99.6154257023822,0.0908618899273105,99.9091381100727,54.7820467630126,70.6894591214039,85.6038629603789,54.6850278347495,9325,36,7697,7,3,10
"long_cut =  4 ; prob =  0.19",99.5726952248691,0.103842159916926,99.8961578400831,54.7746371275783,70.672530138752,85.5749986228678,54.6674479929681,9321,40,7696,8,3,10
"long_cut =  4 ; prob =  0.2",99.5513299861126,0.116822429906542,99.8831775700935,54.7725402609616,70.6654028436019,85.5613500312167,54.6615880457076,9319,42,7695,9,3,10
"long_cut =  4 ; prob =  0.21",99.4765516504647,0.129802699896158,99.8701973001039,54.7571445372222,70.6337467288656,85.5096418732782,54.6264283621447,9312,49,7694,10,3,10
"long_cut =  4 ; prob =  0.22",99.3804080760602,0.168743509865005,99.831256490135,54.7428504177945,70.597609561753,85.445828281715,54.5912686785819,9303,58,7691,13,3,10
"long_cut =  4 ; prob =  0.23",99.2201687853862,0.661993769470405,99.3380062305296,54.825571099699,70.6258079233518,85.3911924243817,54.7260474655728,9288,73,7653,51,3,10
"long_cut =  4 ; prob =  0.24",97.9382544599936,4.65991692627207,95.3400830737279,55.5198934173076,70.8665069181418,84.9565394666123,55.827717550542,9168,193,7345,359,3,10
"long_cut =  4 ; prob =  0.25",96.3785920307659,11.6303219106957,88.3696780893043,56.9930511686671,71.6287563018538,84.6754514397267,58.1189569293876,9022,339,6808,896,3,10
"long_cut =  4 ; prob =  0.26",95.3423779510736,14.8624091381101,85.1375908618899,57.6401446654611,71.8454417387805,84.3126511487303,59.0096689129798,8925,436,6559,1145,3,10
"long_cut =  4 ; prob =  0.27",94.4450379232988,16.7834890965732,83.2165109034268,57.9661683713611,71.8400845081867,83.8868225292242,59.3847055376502,8841,520,6411,1293,3,10
"long_cut =  4 ; prob =  0.28",93.8361286187373,18.2892004153686,81.7107995846314,58.2531998143113,71.8821603927987,83.6205091102945,59.7304424260182,8784,577,6295,1409,3,10
"long_cut =  4 ; prob =  0.29",93.2592671723107,19.4444444444444,80.5555555555556,58.4493840385645,71.8607235461168,83.3333333333333,59.9355405801348,8730,631,6206,1498,3,10
"long_cut =  4 ; prob =  0.3",91.8705266531354,25.7917964693666,74.2082035306334,60.0684500942935,72.6412703775657,83.0741291706111,62.0392616466452,8600,761,5717,1987,3,10
"long_cut =  4 ; prob =  0.31",90.599294947121,31.6458982346833,68.3541017653167,61.6934603913581,73.4031504240956,82.8368267859585,63.9847641371228,8481,880,5266,2438,3,10
"long_cut =  4 ; prob =  0.32",89.7126375387245,34.865005192108,65.134994807892,62.5968992248062,73.7410545725952,82.5599685410932,64.9516554351011,8398,963,5018,2686,3,10
"long_cut =  4 ; prob =  0.33",88.0461489157141,42.0171339563863,57.9828660436137,64.8516799118735,74.6896239238786,82.1685641935677,67.2663346029886,8242,1119,4467,3237,3,10
"long_cut =  4 ; prob =  0.34",86.2835167182993,50.1557632398754,49.8442367601246,67.7771251153814,75.9187893599022,81.8156034116003,69.9736302373279,8077,1284,3840,3864,3,10
"long_cut =  4 ; prob =  0.35",84.7665847665848,55.7892004153686,44.2107995846314,69.967375011022,76.6592599748816,81.3262273239725,71.6847348373865,7935,1426,3406,4298,3,10
"long_cut =  4 ; prob =  0.36",83.3244311505181,60.0207684319834,39.9792315680166,71.6911764705882,77.0712909441233,80.7052396324808,72.8039847641371,7800,1561,3080,4624,3,10
"long_cut =  4 ; prob =  0.37",81.8715949150732,63.2139148494289,36.7860851505711,73.004381787007,77.1841482451282,79.9299153143381,73.4485789627893,7664,1697,2834,4870,3,10
"long_cut =  4 ; prob =  0.38",80.3760282021152,66.1085150571132,33.8914849428868,74.2377898371978,77.1850636027903,79.0684966056454,73.9349545854087,7524,1837,2611,5093,3,10
"long_cut =  4 ; prob =  0.39",79.2864010255315,68.2113187954309,31.7886812045691,75.1899503596393,77.1838602329451,78.4317869597379,74.2865514210372,7422,1939,2449,5255,3,10
"long_cut =  4 ; prob =  0.4",78.1113128939216,69.9117341640706,30.0882658359294,75.9293873312565,77.0048970565004,77.6649530526405,74.4096103135072,7312,2049,2318,5386,3,10
"long_cut =  4 ; prob =  0.41",77.1926076273902,71.6510903426791,28.3489096573209,76.7906482465462,76.99110329764,77.1118794553293,74.69088778201,7226,2135,2184,5520,3,10
"long_cut =  4 ; prob =  0.42",76.0495673539152,73.1438213914849,26.8561786085151,77.4814976055725,76.7588549247938,76.3317035512095,74.7377673600938,7119,2242,2069,5635,3,10
"long_cut =  4 ; prob =  0.43",74.8851618416836,74.7144340602285,25.2855659397715,78.2540745702166,76.5325618210601,75.5355372613249,74.8080867272195,7010,2351,1948,5756,3,10
"long_cut =  4 ; prob =  0.44",73.8275825232347,75.8696780893043,24.1303219106957,78.8027366020524,76.2340742374938,74.7717141991604,74.7494872546147,6911,2450,1859,5845,3,10
"long_cut =  4 ; prob =  0.45",72.7486379660293,77.1028037383178,22.8971962616822,79.4261721483555,75.9408976860887,73.9927854317876,74.7143275710519,6810,2551,1764,5940,3,10
"long_cut =  4 ; prob =  0.46",71.6269629313108,78.2320872274143,21.7679127725857,79.9928418038654,75.5791016175393,73.1571596910051,74.6088485203633,6705,2656,1677,6027,3,10
"long_cut =  4 ; prob =  0.47",70.8044012391838,79.5171339563863,20.4828660436137,80.770168169632,75.4596686969887,72.5958378970427,74.7377673600938,6628,2733,1578,6126,3,10
"long_cut =  4 ; prob =  0.48",70.0779831214614,80.3868120456905,19.6131879543095,81.2786519638211,75.2638825149151,72.0641546742832,74.7319074128333,6560,2801,1511,6193,3,10
"long_cut =  4 ; prob =  0.49",69.276786668091,81.3992731048806,18.6007268951194,81.9019954533973,75.0622142485098,71.4805343679732,74.7494872546147,6485,2876,1433,6271,3,10
"long_cut =  4 ; prob =  0.5",68.6037816472599,82.2559709241952,17.7440290758048,82.4496084221338,74.8921282798834,70.9879954900184,74.7670670963961,6422,2939,1367,6337,3,10
"long_cut =  4 ; prob =  0.51",67.8773635295374,83.1645898234683,16.8354101765317,83.0479675859365,74.7002116153303,70.4512695420778,74.7787869909171,6354,3007,1297,6407,3,10
"long_cut =  4 ; prob =  0.52",67.033436598654,83.9304257528557,16.0695742471443,83.521895381339,74.3747777646083,69.7889094023178,74.6615880457076,6275,3086,1238,6466,3,10
"long_cut =  4 ; prob =  0.53",66.1788270483923,84.6053997923157,15.3946002076843,83.9317165695705,74.0054951618683,69.1020635805912,74.4975095224143,6195,3166,1186,6518,3,10
"long_cut =  4 ; prob =  0.54",65.4524089306698,85.3452751817238,14.6547248182762,84.4404630650496,73.7437563940543,68.5346756152125,74.4330501025491,6127,3234,1129,6575,3,10
"long_cut =  4 ; prob =  0.55",64.6939429548125,85.9034267912773,14.0965732087227,84.7941753010361,73.3927164757923,67.9136948818015,74.2689715792558,6056,3305,1086,6618,3,10
"long_cut =  4 ; prob =  0.56",63.9141117401987,86.4745586708204,13.5254413291796,85.1672597864769,73.0257536921762,67.271582450696,74.099033108702,5983,3378,1042,6662,3,10
