"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.87541546897022,0.598913351848117,-3.13136359906336,0.00173996591551617
"regionAS",-0.900208296233928,0.195541873783455,-4.60365996712718,4.1513005718893e-06
"regionEU",-0.616939442232334,0.191524635010529,-3.22120150339103,0.00127654361101475
"regionNA",-0.539442851899785,0.196798776906866,-2.74108843753167,0.00612360228700382
"regionOC",-0.478799118285668,0.395585014307398,-1.21035706856582,0.226141908024793
"regionSA",-1.08652903821665,0.241902421810961,-4.49160049776491,7.06899303999118e-06
"early_missions_failed",0.0079701611787346,0.0106781429430955,0.746399558538228,0.455426085862942
"first_day_missions_failed",0.00367965365054609,0.0216650864936315,0.16984255528487,0.865133958817976
"early_missions_completed",0.00879690513030409,0.0104339330527267,0.843105383736885,0.399169508033362
"first_day_missions_completed",-0.00947964954586242,0.018726353297377,-0.506219731910658,0.6127024045092
"early_missions_started",0.0118627106188522,0.0102676692243026,1.15534600498956,0.247948763677377
"first_day_missions_started",0.00881793900675888,0.0193540185695694,0.455612821443886,0.648668421633602
"early_total_time_ms",5.21585032778765e-09,7.89931978849734e-09,0.660291071565777,0.509067058626357
"first_day_total_time_ms",7.04528070006856e-08,2.26637403147121e-08,3.10861340724733,0.00187967492011762
"early_number_of_events",0.0011774871758731,0.000620757014970734,1.89685681752403,0.057846838053336
"first_day_number_of_events",-0.00471089981125242,0.0015004613167524,-3.13963429690323,0.00169158859312551
"Summary_fieldFreeBeeVideoWatchedFirst",0.955657393156164,0.483948458020952,1.9747090362974,0.0483011768785326
"Summary_fieldFacebookFriendsAmountCount",9.46288115441257,149.062489307912,0.0634826454217164,0.949382178314196
"fieldDeviceTypeLastMOBILE_PHONE",1.93271894341425,0.162702760215442,11.8788331608822,1.52480943475886e-32
"fieldDeviceTypeLastTABLET",1.85008369631036,0.231570335067495,7.98929489725496,1.35712707087866e-15
"fieldPlatformLastANDROID_MOBILE",0.4996401526491,0.573012964796882,0.871952614241824,0.383234228802878
"fieldPlatformLastANDROID_TABLET",0.124281920677549,0.590911932900182,0.210322238827664,0.833416179378604
"fieldPlatformLastIOS",-2.56755467027596,0.732698388637573,-3.50424500734911,0.000457903859954874
"fieldPlatformLastIOS_MOBILE",-1.225055655502,0.593357163852253,-2.06461762010013,0.0389591947363798
"fieldPlatformLastIOS_TABLET",-1.10496995336796,0.614943550797624,-1.79686404050378,0.0723572065883434
