"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set Number"
"long_cut =  5 ; prob =  0",100,0,100,4.25781479092135,8.16785734375879,18.1909295915811,4.25781479092135,726,0,16325,0,1,5
"long_cut =  5 ; prob =  0.01",88.8429752066116,34.542113323124,65.457886676876,5.69234842467567,10.6991789002239,22.6554267650158,36.854143451997,645,81,10686,5639,1,5
"long_cut =  5 ; prob =  0.02",83.1955922865014,45.0229709035222,54.9770290964778,6.30545986011066,11.7224648229015,24.1929023471922,46.6482904228491,604,122,8975,7350,1,5
"long_cut =  5 ; prob =  0.03",75.068870523416,60.2511485451761,39.7488514548239,7.74808075063975,14.0463917525773,27.4200040249547,60.8820597032432,545,181,6489,9836,1,5
"long_cut =  5 ; prob =  0.04",65.9779614325069,66.8912710566616,33.1087289433384,8.14072059823249,14.4931921331316,27.2530723714156,66.8523840243974,479,247,5405,10920,1,5
"long_cut =  5 ; prob =  0.05",58.5399449035813,76.9127105666156,23.0872894333844,10.1335240820219,17.2764227642276,29.9380107072415,76.1304322327136,425,301,3769,12556,1,5
"long_cut =  5 ; prob =  0.06",50.8264462809917,84,16,12.3783965112378,19.9082816293499,31.3508920985556,82.5875315230778,369,357,2612,13713,1,5
"long_cut =  5 ; prob =  0.07",42.6997245179063,87.8591117917305,12.1408882082695,13.5253054101222,20.5434062292909,29.8306389530408,85.9363087208961,310,416,1982,14343,1,5
"long_cut =  5 ; prob =  0.08",37.0523415977961,90.4012251148545,9.59877488514548,14.6514161220044,20.9992193598751,28.3755274261603,88.1297284616738,269,457,1567,14758,1,5
"long_cut =  5 ; prob =  0.09",32.5068870523416,92.1531393568147,7.84686064318529,15.5570204350692,21.0432456531431,26.6907939380231,89.6135124039646,236,490,1281,15044,1,5
"long_cut =  5 ; prob =  0.1",29.6143250688705,93.5926493108729,6.4073506891271,17.0499603489294,21.6406643180674,25.8103241296519,90.8685707583133,215,511,1046,15279,1,5
"long_cut =  5 ; prob =  0.11",25.3443526170799,94.9157733537519,5.08422664624809,18.1459566074951,21.1494252873563,23.4813680449209,91.9535511113718,184,542,830,15495,1,5
"long_cut =  5 ; prob =  0.12",22.1763085399449,95.7733537519142,4.22664624808575,18.9189189189189,20.4185161699429,21.4380825565912,92.6397278751979,161,565,690,15635,1,5
"long_cut =  5 ; prob =  0.13",19.5592286501377,96.4104134762634,3.5895865237366,19.5054945054945,19.5323246217331,19.5484581497797,93.1382323617383,142,584,586,15739,1,5
"long_cut =  5 ; prob =  0.14",17.3553719008264,96.9617151607963,3.03828483920368,20.2572347266881,18.6943620178042,17.8672716959728,93.5722245029617,126,600,496,15829,1,5
"long_cut =  5 ; prob =  0.15",15.4269972451791,97.3476263399694,2.65237366003063,20.5504587155963,17.6239181746656,16.2365903160336,93.8595976775556,112,614,433,15892,1,5
"long_cut =  5 ; prob =  0.16",13.6363636363636,97.6049004594181,2.39509954058192,20.2040816326531,16.2828947368421,14.5845609899823,94.0296756788458,99,627,391,15934,1,5
"long_cut =  5 ; prob =  0.17",11.7079889807163,97.8866768759571,2.11332312404288,19.7674418604651,14.7058823529412,12.747450509898,94.2173479561316,85,641,345,15980,1,5
"long_cut =  5 ; prob =  0.18",10.0550964187328,98.2235834609495,1.77641653905054,20.1101928374656,13.406795224977,11.1723293541475,94.4695325787344,73,653,290,16035,1,5
"long_cut =  5 ; prob =  0.19",9.50413223140496,98.4563552833078,1.54364471669219,21.4953271028037,13.1805157593123,10.6976744186047,94.6689343733505,69,657,252,16073,1,5
"long_cut =  5 ; prob =  0.2",9.09090909090909,98.5849923430322,1.41500765696784,22.2222222222222,12.9032258064516,10.3092783505155,94.7745000293238,66,660,231,16094,1,5
"long_cut =  5 ; prob =  0.21",7.71349862258953,98.7197549770291,1.28024502297091,21.1320754716981,11.3017154389506,8.83559482486589,94.844877133306,56,670,209,16116,1,5
"long_cut =  5 ; prob =  0.22",7.30027548209366,98.8422664624809,1.15773353751915,21.900826446281,10.9504132231405,8.42339478703115,94.944578030614,53,673,189,16136,1,5
"long_cut =  5 ; prob =  0.23",6.33608815426997,98.9464012251149,1.05359877488514,21.1009174311927,9.74576271186441,7.36707238949391,95.0032256172659,46,680,172,16153,1,5
"long_cut =  5 ; prob =  0.24",5.92286501377411,99.0444104134763,0.955589586523742,21.608040201005,9.2972972972973,6.92877860135353,95.0794674799132,43,683,156,16169,1,5
"long_cut =  5 ; prob =  0.25",5.37190082644628,99.1240428790199,0.875957120980086,21.4285714285714,8.59030837004405,6.31885936487362,95.1322503078998,39,687,143,16182,1,5
"long_cut =  5 ; prob =  0.26",5.37190082644628,99.2343032159265,0.765696784073511,23.780487804878,8.76404494382022,6.35593220338983,95.2378159638731,39,687,125,16200,1,5
"long_cut =  5 ; prob =  0.27",4.6831955922865,99.2955589586524,0.704441041347625,22.8187919463087,7.77142857142857,5.56829348182116,95.267139757199,34,692,115,16210,1,5
"long_cut =  5 ; prob =  0.28",4.6831955922865,99.3568147013783,0.643185298621751,24.4604316546763,7.86127167630058,5.58659217877095,95.3257873438508,34,692,105,16220,1,5
"long_cut =  5 ; prob =  0.29",4.13223140495868,99.3874425727412,0.612557427258809,23.0769230769231,7.00934579439252,4.9439683586025,95.331652102516,30,696,100,16225,1,5
"long_cut =  5 ; prob =  0.3",4.13223140495868,99.4364471669219,0.563552833078096,24.5901639344262,7.07547169811321,4.95703899537343,95.3785701718374,30,696,92,16233,1,5
"long_cut =  5 ; prob =  0.31",3.85674931129477,99.4486983154671,0.551301684532923,23.728813559322,6.63507109004739,4.63269358041032,95.3785701718374,28,698,90,16235,1,5
"long_cut =  5 ; prob =  0.32",3.58126721763085,99.4732006125574,0.526799387442578,23.2142857142857,6.20525059665871,4.31034482758621,95.3902996891678,26,700,86,16239,1,5
"long_cut =  5 ; prob =  0.33",3.03030303030303,99.5038284839204,0.496171516079635,21.3592233009709,5.30759951749095,3.65813102760226,95.396164447833,22,704,81,16244,1,5
"long_cut =  5 ; prob =  0.34",2.61707988980716,99.5467075038285,0.45329249617152,20.4301075268817,4.63980463980464,3.16983650316984,95.4196234824937,19,707,74,16251,1,5
"long_cut =  5 ; prob =  0.35",2.47933884297521,99.5650842266462,0.43491577335375,20.2247191011236,4.41717791411043,3.00701637153358,95.4313529998241,18,708,71,16254,1,5
"long_cut =  5 ; prob =  0.36",2.20385674931129,99.583460949464,0.416539050535991,19.047619047619,3.95061728395062,2.67737617135208,95.4372177584892,16,710,68,16257,1,5
"long_cut =  5 ; prob =  0.37",2.06611570247934,99.6018376722818,0.398162327718221,18.75,3.72208436724566,2.51340482573727,95.4489472758196,15,711,65,16260,1,5
"long_cut =  5 ; prob =  0.38",1.79063360881543,99.6018376722818,0.398162327718221,16.6666666666667,3.23383084577114,2.17974513749162,95.4372177584892,13,713,65,16260,1,5
"long_cut =  5 ; prob =  0.39",1.37741046831956,99.6569678407351,0.343032159264933,15.1515151515152,2.52525252525253,1.68350168350168,95.4724063104803,10,716,56,16269,1,5
"long_cut =  5 ; prob =  0.4",1.10192837465565,99.6692189892803,0.33078101071975,12.9032258064516,2.03045685279188,1.34861766689144,95.4724063104803,8,718,54,16271,1,5
"long_cut =  5 ; prob =  0.41",1.10192837465565,99.7120980091884,0.287901990811634,14.5454545454545,2.04865556978233,1.35180804325786,95.5134596211366,8,718,47,16278,1,5
"long_cut =  5 ; prob =  0.42",0.826446280991736,99.7304747320061,0.269525267993875,12,1.54639175257732,1.0155721056195,95.5193243798018,6,720,44,16281,1,5
"long_cut =  5 ; prob =  0.43",0.826446280991736,99.7488514548239,0.251148545176105,12.7659574468085,1.55239327296248,1.01660454083362,95.5369186557973,6,720,41,16284,1,5
"long_cut =  5 ; prob =  0.44",0.826446280991736,99.7733537519142,0.22664624808576,13.953488372093,1.56046814044213,1.01798439090601,95.560377690458,6,720,37,16288,1,5
"long_cut =  5 ; prob =  0.45",0.826446280991736,99.791730474732,0.20826952526799,15,1.56657963446475,1.01902173913044,95.5779719664536,6,720,34,16291,1,5
"long_cut =  5 ; prob =  0.46",0.826446280991736,99.8039816232772,0.196018376722817,15.7894736842105,1.57068062827225,1.01971447994562,95.5897014837839,6,720,32,16293,1,5
"long_cut =  5 ; prob =  0.47",0.826446280991736,99.8039816232772,0.196018376722817,15.7894736842105,1.57068062827225,1.01971447994562,95.5897014837839,6,720,32,16293,1,5
"long_cut =  5 ; prob =  0.48",0.68870523415978,99.8162327718224,0.183767228177645,14.2857142857143,1.31406044678055,0.850629465804696,95.5955662424491,5,721,30,16295,1,5
"long_cut =  5 ; prob =  0.49",0.68870523415978,99.8223583460949,0.177641653905058,14.7058823529412,1.31578947368421,0.850918992511913,95.6014310011143,5,721,29,16296,1,5
"long_cut =  5 ; prob =  0.5",0.68870523415978,99.8346094946401,0.165390505359875,15.625,1.31926121372032,0.85149863760218,95.6131605184447,5,721,27,16298,1,5
"long_cut =  5 ; prob =  0.51",0.550964187327824,99.8346094946401,0.165390505359875,12.9032258064516,1.05680317040951,0.681431005110733,95.6072957597795,4,722,27,16298,1,5
"long_cut =  5 ; prob =  0.52",0.550964187327824,99.8346094946401,0.165390505359875,12.9032258064516,1.05680317040951,0.681431005110733,95.6072957597795,4,722,27,16298,1,5
"long_cut =  5 ; prob =  0.53",0.550964187327824,99.8468606431853,0.153139356814702,13.7931034482759,1.05960264900662,0.681895669962496,95.6190252771098,4,722,25,16300,1,5
"long_cut =  5 ; prob =  0.54",0.550964187327824,99.8591117917305,0.14088820826953,14.8148148148148,1.06241699867198,0.682360968952576,95.6307547944402,4,722,23,16302,1,5
"long_cut =  5 ; prob =  0.55",0.550964187327824,99.8652373660031,0.134762633996932,15.3846153846154,1.06382978723404,0.68259385665529,95.6366195531054,4,722,22,16303,1,5
"long_cut =  5 ; prob =  0.56",0.550964187327824,99.8652373660031,0.134762633996932,15.3846153846154,1.06382978723404,0.68259385665529,95.6366195531054,4,722,22,16303,1,5
"long_cut =  5 ; prob =  0.57",0.550964187327824,99.8652373660031,0.134762633996932,15.3846153846154,1.06382978723404,0.68259385665529,95.6366195531054,4,722,22,16303,1,5
"long_cut =  5 ; prob =  0.58",0.550964187327824,99.8652373660031,0.134762633996932,15.3846153846154,1.06382978723404,0.68259385665529,95.6366195531054,4,722,22,16303,1,5
"long_cut =  5 ; prob =  0.59",0.550964187327824,99.8713629402757,0.128637059724346,16,1.06524633821571,0.682826903379993,95.6424843117706,4,722,21,16304,1,5
"long_cut =  5 ; prob =  0.6",0.413223140495868,99.8713629402757,0.128637059724346,12.5,0.8,0.512295081967213,95.6366195531054,3,723,21,16304,1,5
"long_cut =  5 ; prob =  0.61",0.413223140495868,99.8713629402757,0.128637059724346,12.5,0.8,0.512295081967213,95.6366195531054,3,723,21,16304,1,5
"long_cut =  5 ; prob =  0.62",0.413223140495868,99.8713629402757,0.128637059724346,12.5,0.8,0.512295081967213,95.6366195531054,3,723,21,16304,1,5
"long_cut =  5 ; prob =  0.63",0.413223140495868,99.8836140888208,0.116385911179173,13.6363636363636,0.802139037433155,0.512645249487355,95.6483490704358,3,723,19,16306,1,5
"long_cut =  5 ; prob =  0.64",0.413223140495868,99.895865237366,0.104134762634001,15,0.804289544235925,0.512995896032832,95.6600785877661,3,723,17,16308,1,5
"long_cut =  5 ; prob =  0.65",0.413223140495868,99.895865237366,0.104134762634001,15,0.804289544235925,0.512995896032832,95.6600785877661,3,723,17,16308,1,5
"long_cut =  5 ; prob =  0.66",0.413223140495868,99.895865237366,0.104134762634001,15,0.804289544235925,0.512995896032832,95.6600785877661,3,723,17,16308,1,5
"long_cut =  5 ; prob =  0.67",0.413223140495868,99.895865237366,0.104134762634001,15,0.804289544235925,0.512995896032832,95.6600785877661,3,723,17,16308,1,5
"long_cut =  5 ; prob =  0.68",0.413223140495868,99.895865237366,0.104134762634001,15,0.804289544235925,0.512995896032832,95.6600785877661,3,723,17,16308,1,5
"long_cut =  5 ; prob =  0.69",0.413223140495868,99.895865237366,0.104134762634001,15,0.804289544235925,0.512995896032832,95.6600785877661,3,723,17,16308,1,5
"long_cut =  5 ; prob =  0.7",0.413223140495868,99.895865237366,0.104134762634001,15,0.804289544235925,0.512995896032832,95.6600785877661,3,723,17,16308,1,5
"long_cut =  5 ; prob =  0.71",0.413223140495868,99.9081163859112,0.0918836140888168,16.6666666666667,0.806451612903226,0.513347022587269,95.6718081050965,3,723,15,16310,1,5
"long_cut =  5 ; prob =  0.72",0.413223140495868,99.9081163859112,0.0918836140888168,16.6666666666667,0.806451612903226,0.513347022587269,95.6718081050965,3,723,15,16310,1,5
"long_cut =  5 ; prob =  0.73",0.137741046831956,99.9203675344564,0.0796324655436442,7.14285714285714,0.27027027027027,0.171350239890336,95.6718081050965,1,725,13,16312,1,5
"long_cut =  5 ; prob =  0.74",0.137741046831956,99.9203675344564,0.0796324655436442,7.14285714285714,0.27027027027027,0.171350239890336,95.6718081050965,1,725,13,16312,1,5
"long_cut =  5 ; prob =  0.75",0,99.9203675344564,0.0796324655436442,0,NA,NA,95.6659433464313,0,726,13,16312,1,5
"long_cut =  5 ; prob =  0.76",0,99.9203675344564,0.0796324655436442,0,NA,NA,95.6659433464313,0,726,13,16312,1,5
"long_cut =  5 ; prob =  0.77",0,99.9203675344564,0.0796324655436442,0,NA,NA,95.6659433464313,0,726,13,16312,1,5
"long_cut =  5 ; prob =  0.78",0,99.9326186830015,0.0673813169984716,0,NA,NA,95.6776728637617,0,726,11,16314,1,5
"long_cut =  5 ; prob =  0.79",0,99.9326186830015,0.0673813169984716,0,NA,NA,95.6776728637617,0,726,11,16314,1,5
"long_cut =  5 ; prob =  0.8",0,99.9448698315467,0.0551301684532879,0,NA,NA,95.689402381092,0,726,9,16316,1,5
"long_cut =  5 ; prob =  0.81",0,99.9448698315467,0.0551301684532879,0,NA,NA,95.689402381092,0,726,9,16316,1,5
"long_cut =  5 ; prob =  0.82",0,99.9448698315467,0.0551301684532879,0,NA,NA,95.689402381092,0,726,9,16316,1,5
"long_cut =  5 ; prob =  0.83",0,99.9448698315467,0.0551301684532879,0,NA,NA,95.689402381092,0,726,9,16316,1,5
"long_cut =  5 ; prob =  0.84",0,99.9448698315467,0.0551301684532879,0,NA,NA,95.689402381092,0,726,9,16316,1,5
"long_cut =  5 ; prob =  0.85",0,99.9448698315467,0.0551301684532879,0,NA,NA,95.689402381092,0,726,9,16316,1,5
"long_cut =  5 ; prob =  0.86",0,99.9448698315467,0.0551301684532879,0,NA,NA,95.689402381092,0,726,9,16316,1,5
"long_cut =  5 ; prob =  0.87",0,99.9571209800919,0.0428790199081153,0,NA,NA,95.7011318984224,0,726,7,16318,1,5
"long_cut =  5 ; prob =  0.88",0,99.9754977029096,0.0245022970903563,0,NA,NA,95.7187261744179,0,726,4,16321,1,5
"long_cut =  5 ; prob =  0.89",0,99.9754977029096,0.0245022970903563,0,NA,NA,95.7187261744179,0,726,4,16321,1,5
"long_cut =  5 ; prob =  0.9",0,99.9816232771822,0.0183767228177589,0,NA,NA,95.7245909330831,0,726,3,16322,1,5
"long_cut =  5 ; prob =  0.91",0,99.9816232771822,0.0183767228177589,0,NA,NA,95.7245909330831,0,726,3,16322,1,5
"long_cut =  5 ; prob =  0.92",0,99.9816232771822,0.0183767228177589,0,NA,NA,95.7245909330831,0,726,3,16322,1,5
"long_cut =  5 ; prob =  0.93",0,99.9816232771822,0.0183767228177589,0,NA,NA,95.7245909330831,0,726,3,16322,1,5
"long_cut =  5 ; prob =  0.94",0,99.9877488514548,0.0122511485451726,0,NA,NA,95.7304556917483,0,726,2,16323,1,5
"long_cut =  5 ; prob =  0.95",0,99.9938744257274,0.00612557427258631,0,NA,NA,95.7363204504135,0,726,1,16324,1,5
"long_cut =  5 ; prob =  0.96",0,99.9938744257274,0.00612557427258631,0,NA,NA,95.7363204504135,0,726,1,16324,1,5
"long_cut =  5 ; prob =  0.97",0,99.9938744257274,0.00612557427258631,0,NA,NA,95.7363204504135,0,726,1,16324,1,5
"long_cut =  5 ; prob =  0.98",0,99.9938744257274,0.00612557427258631,0,NA,NA,95.7363204504135,0,726,1,16324,1,5
"long_cut =  5 ; prob =  0.99",0,99.9938744257274,0.00612557427258631,0,NA,NA,95.7363204504135,0,726,1,16324,1,5
