"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-16.9163474948572,298.942549226396,-0.0565872858802917,0.95487396271395
"early_total_time_ms",1.72567406661535e-08,8.46018742995166e-09,2.0397586707192,0.0413743680883015
"first_day_total_time_ms",4.06793560836612e-08,2.07911051124489e-08,1.95657498067787,0.0503974589395172
"early_number_of_events",0.00122028487658901,0.000352824780160388,3.45861443188397,0.000542961568935657
"first_day_number_of_events",0.00105885298736586,0.00082050580931178,1.29048810544559,0.196881239045415
"fieldDeviceTypeLastMOBILE_PHONE",1.40947434631781,0.190504843962195,7.39862733672804,1.37599407138494e-13
"fieldDeviceTypeLastTABLET",1.66313901078296,0.273744789125917,6.0755092949658,1.23594820242655e-09
"fieldPlatformLastANDROID_MOBILE",11.6968248929684,298.942578592259,0.0391273298974323,0.968788871541348
"fieldPlatformLastANDROID_TABLET",12.2201236504065,298.942687681565,0.0408778142231178,0.967393304346147
"fieldPlatformLastIOS",11.7620524299477,298.943168382372,0.0393454464726323,0.968614973602846
"fieldPlatformLastIOS_MOBILE",11.8160795061965,298.942603744426,0.0395262480429132,0.968470826952567
"fieldPlatformLastIOS_TABLET",11.5391250199919,298.942665887944,0.0385997929928051,0.96920946733898
