"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set_number","Longterm_cutoff","Game_id","Target"
"long_cut =  6 ; prob =  0",100,0,100,46.0083433339048,63.0215264187867,80.9910870571193,46.0083433339048,8051,0,9448,0,2,1,6,2880,"longTermPlayer"
"long_cut =  6 ; prob =  0.01",100,0,100,46.0083433339048,63.0215264187867,80.9910870571193,46.0083433339048,8051,0,9448,0,2,1,6,2880,"longTermPlayer"
"long_cut =  6 ; prob =  0.02",100,0,100,46.0083433339048,63.0215264187867,80.9910870571193,46.0083433339048,8051,0,9448,0,2,1,6,2880,"longTermPlayer"
"long_cut =  6 ; prob =  0.03",100,0,100,46.0083433339048,63.0215264187867,80.9910870571193,46.0083433339048,8051,0,9448,0,2,1,6,2880,"longTermPlayer"
"long_cut =  6 ; prob =  0.04",100,0,100,46.0083433339048,63.0215264187867,80.9910870571193,46.0083433339048,8051,0,9448,0,2,1,6,2880,"longTermPlayer"
"long_cut =  6 ; prob =  0.05",100,0,100,46.0083433339048,63.0215264187867,80.9910870571193,46.0083433339048,8051,0,9448,0,2,1,6,2880,"longTermPlayer"
"long_cut =  6 ; prob =  0.06",100,0,100,46.0083433339048,63.0215264187867,80.9910870571193,46.0083433339048,8051,0,9448,0,2,1,6,2880,"longTermPlayer"
"long_cut =  6 ; prob =  0.07",100,0,100,46.0083433339048,63.0215264187867,80.9910870571193,46.0083433339048,8051,0,9448,0,2,1,6,2880,"longTermPlayer"
"long_cut =  6 ; prob =  0.08",100,0,100,46.0083433339048,63.0215264187867,80.9910870571193,46.0083433339048,8051,0,9448,0,2,1,6,2880,"longTermPlayer"
"long_cut =  6 ; prob =  0.09",100,0,100,46.0083433339048,63.0215264187867,80.9910870571193,46.0083433339048,8051,0,9448,0,2,1,6,2880,"longTermPlayer"
"long_cut =  6 ; prob =  0.1",100,0,100,46.0083433339048,63.0215264187867,80.9910870571193,46.0083433339048,8051,0,9448,0,2,1,6,2880,"longTermPlayer"
