"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set_number","Longterm_cutoff","Game_id","Target"
"long_cut =  6 ; prob =  0",100,0,100,2.01142857142857,3.94353573829263,9.30822932092236,2.01142857142857,352,0,17148,0,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.01",97.1590909090909,0.09913692558899,99.900863074411,1.95730555714531,3.83730715287518,9.0567236904825,2.05142857142857,342,10,17131,17,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.02",60.2272727272727,74.5451364590623,25.4548635409377,4.63185492680795,8.60215053763441,17.7109440267335,74.2571428571429,212,140,4365,12783,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.03",41.4772727272727,92.0632143690226,7.93678563097737,9.68812209688122,15.7073695535234,25.0428816466552,91.0457142857143,146,206,1361,15787,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.04",32.9545454545455,95.5388383484954,4.46116165150455,13.16685584563,18.815896188159,25.3385757972914,94.28,116,236,765,16383,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.05",26.9886363636364,97.2008397480756,2.79916025192443,16.5217391304348,20.4962243797195,23.9536056480081,95.7885714285714,95,257,480,16668,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.06",23.8636363636364,97.8947982271985,2.10520177280149,18.876404494382,21.0790464240903,22.6659471127901,96.4057142857143,84,268,361,16787,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.07",21.3068181818182,98.3379986004199,1.66200139958013,20.8333333333333,21.0674157303371,21.210407239819,96.7885714285714,75,277,285,16863,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.08",16.4772727272727,98.6120830417541,1.38791695824586,19.5945945945946,17.9012345679012,17.018779342723,96.96,58,294,238,16910,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.09",12.7840909090909,98.8803358992302,1.11966410076977,18.9873417721519,15.2801358234295,13.677811550152,97.1485714285714,45,307,192,16956,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.1",12.7840909090909,98.9853044086774,1.0146955913226,20.5479452054795,15.7618213660245,13.8291333743085,97.2514285714286,45,307,174,16974,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.11",12.2159090909091,99.1077676696991,0.892232330300913,21.9387755102041,15.6934306569343,13.4039900249377,97.36,43,309,153,16995,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.12",11.3636363636364,99.1894098437135,0.81059015628645,22.3463687150838,15.0659133709981,12.6023944549464,97.4228571428571,40,312,139,17009,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.13",10.2272727272727,99.236062514579,0.76393748542104,21.5568862275449,13.8728323699422,11.4285714285714,97.4457142857143,36,316,131,17017,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.14",9.65909090909091,99.3410310240261,0.658968975973873,23.1292517006803,13.627254509018,10.9324758842444,97.5371428571429,34,318,113,17035,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.15",8.80681818181818,99.4226731980406,0.57732680195941,23.8461538461538,12.8630705394191,10.0780234070221,97.6,31,321,99,17049,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.16",7.95454545454545,99.4751574527642,0.524842547235826,23.728813559322,11.9148936170213,9.1743119266055,97.6342857142857,28,324,90,17058,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.17",6.25,99.504315372055,0.495684627944948,20.5607476635514,9.58605664488017,7.26072607260726,97.6285714285714,22,330,85,17063,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.18",5.96590909090909,99.5218101236296,0.478189876370427,20.3883495145631,9.23076923076923,6.94904037061549,97.64,21,331,82,17066,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.19",5.68181818181818,99.5801259622113,0.419874037788659,21.7391304347826,9.00900900900901,6.66666666666667,97.6914285714286,20,332,72,17076,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.2",5.68181818181818,99.6092838815022,0.39071611849778,22.9885057471264,9.11161731207289,6.68896321070234,97.72,20,332,67,17081,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.21",5.39772727272727,99.6442733846513,0.355726615348728,23.75,8.7962962962963,6.38440860215054,97.7485714285714,19,333,61,17087,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.22",5.39772727272727,99.6501049685094,0.349895031490555,24.0506329113924,8.81670533642692,6.38870208473436,97.7542857142857,19,333,60,17088,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.23",4.26136363636364,99.667599720084,0.332400279916023,20.8333333333333,7.07547169811321,5.06756756756757,97.7485714285714,15,337,57,17091,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.24",2.84090909090909,99.6909260555167,0.309073944483318,15.8730158730159,4.81927710843373,3.39904826648538,97.7428571428571,10,342,53,17095,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.25",2.84090909090909,99.7084208070912,0.291579192908797,16.6666666666667,4.85436893203883,3.40599455040872,97.76,10,342,50,17098,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.26",2.84090909090909,99.7084208070912,0.291579192908797,16.6666666666667,4.85436893203883,3.40599455040872,97.76,10,342,50,17098,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.27",2.27272727272727,99.7317471425239,0.268252857476092,14.8148148148148,3.94088669950739,2.7359781121751,97.7714285714286,8,344,46,17102,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.28",2.27272727272727,99.7375787263821,0.262421273617919,15.0943396226415,3.95061728395062,2.7378507871321,97.7771428571429,8,344,45,17103,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.29",2.27272727272727,99.7609050618148,0.239094938185214,16.3265306122449,3.99002493765586,2.74536719286204,97.8,8,344,41,17107,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.3",2.27272727272727,99.7842313972475,0.215768602752509,17.7777777777778,4.03022670025189,2.75292498279422,97.8228571428571,8,344,37,17111,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.31",1.70454545454545,99.7842313972475,0.215768602752509,13.953488372093,3.0379746835443,2.06753962784287,97.8114285714286,6,346,37,17111,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.32",1.70454545454545,99.8192209003965,0.180779099603456,16.2162162162162,3.08483290488432,2.07612456747405,97.8457142857143,6,346,31,17117,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.33",1.70454545454545,99.8192209003965,0.180779099603456,16.2162162162162,3.08483290488432,2.07612456747405,97.8457142857143,6,346,31,17117,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.34",1.70454545454545,99.8367156519711,0.163284348028925,17.6470588235294,3.10880829015544,2.08044382801664,97.8628571428571,6,346,28,17120,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.35",1.70454545454545,99.8367156519711,0.163284348028925,17.6470588235294,3.10880829015544,2.08044382801664,97.8628571428571,6,346,28,17120,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.36",1.42045454545455,99.8425472358292,0.157452764170751,15.625,2.60416666666667,1.73611111111111,97.8628571428571,5,347,27,17121,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.37",1.42045454545455,99.8542104035456,0.145789596454393,16.6666666666667,2.61780104712042,1.73852573018081,97.8742857142857,5,347,25,17123,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.38",1.42045454545455,99.865873571262,0.134126428738046,17.8571428571429,2.63157894736842,1.74094707520891,97.8857142857143,5,347,23,17125,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.39",1.42045454545455,99.8717051551201,0.128294844879873,18.5185185185185,2.63852242744063,1.74216027874564,97.8914285714286,5,347,22,17126,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.4",1.42045454545455,99.8717051551201,0.128294844879873,18.5185185185185,2.63852242744063,1.74216027874564,97.8914285714286,5,347,22,17126,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.41",1.42045454545455,99.8775367389783,0.122463261021688,19.2307692307692,2.64550264550265,1.74337517433752,97.8971428571429,5,347,21,17127,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.42",1.42045454545455,99.8833683228365,0.116631677163515,20,2.6525198938992,1.74459176552687,97.9028571428571,5,347,20,17128,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.43",1.42045454545455,99.8950314905528,0.104968509447168,21.7391304347826,2.66666666666667,1.74703004891684,97.9142857142857,5,347,18,17130,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.44",1.42045454545455,99.9066946582692,0.0933053417308094,23.8095238095238,2.68096514745308,1.74947515745276,97.9257142857143,5,347,16,17132,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.45",1.42045454545455,99.9125262421274,0.0874737578726359,25,2.68817204301075,1.75070028011204,97.9314285714286,5,347,15,17133,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.46",1.42045454545455,99.9125262421274,0.0874737578726359,25,2.68817204301075,1.75070028011204,97.9314285714286,5,347,15,17133,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.47",1.42045454545455,99.9183578259855,0.0816421740144624,26.3157894736842,2.69541778975741,1.75192711983181,97.9371428571429,5,347,14,17134,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.48",1.42045454545455,99.9300209937019,0.0699790062981154,29.4117647058824,2.710027100271,1.75438596491228,97.9485714285714,5,347,12,17136,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.49",1.42045454545455,99.9300209937019,0.0699790062981154,29.4117647058824,2.710027100271,1.75438596491228,97.9485714285714,5,347,12,17136,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.5",1.42045454545455,99.9358525775601,0.0641474224399308,31.25,2.71739130434783,1.75561797752809,97.9542857142857,5,347,11,17137,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.51",1.42045454545455,99.9416841614182,0.0583158385817573,33.3333333333333,2.72479564032698,1.75685172171469,97.96,5,347,10,17138,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.52",1.42045454545455,99.9416841614182,0.0583158385817573,33.3333333333333,2.72479564032698,1.75685172171469,97.96,5,347,10,17138,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.53",1.13636363636364,99.9416841614182,0.0583158385817573,28.5714285714286,2.18579234972678,1.40646976090014,97.9542857142857,4,348,10,17138,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.54",1.13636363636364,99.9475157452764,0.0524842547235838,30.7692307692308,2.19178082191781,1.40745953553835,97.96,4,348,9,17139,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.55",1.13636363636364,99.9475157452764,0.0524842547235838,30.7692307692308,2.19178082191781,1.40745953553835,97.96,4,348,9,17139,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.56",1.13636363636364,99.965010496851,0.0349895031490521,40,2.20994475138122,1.41043723554302,97.9771428571429,4,348,6,17142,2,1,6,4120,"spender"
"long_cut =  6 ; prob =  0.57",1.13636363636364,99.965010496851,0.0349895031490521,40,2.20994475138122,1.41043723554302,97.9771428571429,4,348,6,17142,2,1,6,4120,"spender"
