"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set_number","Longterm_cutoff","Game_id"
"long_cut =  9 ; prob =  0",100,0,100,37.144532395192,54.1684480547242,74.7139992923694,37.144532395192,6335,0,10720,0,2,8,9,2880
"long_cut =  9 ; prob =  0.01",100,0,100,37.144532395192,54.1684480547242,74.7139992923694,37.144532395192,6335,0,10720,0,2,8,9,2880
"long_cut =  9 ; prob =  0.02",99.9842146803473,0,100,37.1408467221766,54.162213006114,74.7039675425768,37.1386690120199,6334,1,10720,0,2,8,9,2880
"long_cut =  9 ; prob =  0.03",99.9842146803473,0,100,37.1408467221766,54.162213006114,74.7039675425768,37.1386690120199,6334,1,10720,0,2,8,9,2880
"long_cut =  9 ; prob =  0.04",99.9368587213891,0.130597014925373,99.8694029850746,37.1602981745612,54.1759370186548,74.6985393019798,37.2031662269129,6331,4,10706,14,2,8,9,2880
"long_cut =  9 ; prob =  0.05",99.8421468034728,0.42910447761194,99.5708955223881,37.2080710630037,54.2127367789492,74.6947259028319,37.3556141893873,6325,10,10674,46,2,8,9,2880
"long_cut =  9 ; prob =  0.06",99.7474348855564,0.867537313432836,99.1324626865672,37.2890357606515,54.2846097676217,74.7174005581043,37.596012899443,6319,16,10627,93,2,8,9,2880
"long_cut =  9 ; prob =  0.07",99.6527229676401,1.09141791044776,98.9085820895522,37.3196973279735,54.303040729431,74.6994509655434,37.7015537965406,6313,22,10603,117,2,8,9,2880
"long_cut =  9 ; prob =  0.08",99.6369376479874,1.18470149253731,98.8152985074627,37.338065661047,54.3201376936317,74.7070659249615,37.7543242450894,6312,23,10593,127,2,8,9,2880
"long_cut =  9 ; prob =  0.09",99.5895816890292,1.29664179104478,98.7033582089552,37.3534635879219,54.3293864370291,74.6980819322756,37.8070946936382,6309,26,10581,139,2,8,9,2880
"long_cut =  9 ; prob =  0.1",99.5580110497238,1.6044776119403,98.3955223880597,37.4191634529813,54.394135403191,74.7363431686219,37.988859571973,6307,28,10548,172,2,8,9,2880
"long_cut =  9 ; prob =  0.11",99.542225730071,2.32276119402985,97.6772388059701,37.5871729153007,54.5690550363447,74.8628819716504,38.4344766930519,6306,29,10471,249,2,8,9,2880
"long_cut =  9 ; prob =  0.12",99.431728492502,3.70335820895522,96.2966417910448,37.8955601010709,54.8765082545629,75.0560030503789,39.2612137203166,6299,36,10323,397,2,8,9,2880
"long_cut =  9 ; prob =  0.13",99.3843725335438,4.57089552238806,95.4291044776119,38.0975432651579,55.0807051310091,75.1922801318492,39.7889182058048,6296,39,10230,490,2,8,9,2880
"long_cut =  9 ; prob =  0.14",99.0844514601421,6.25932835820896,93.740671641791,38.4478745559231,55.399143903623,75.3252052032832,40.7387862796834,6277,58,10049,671,2,8,9,2880
"long_cut =  9 ; prob =  0.15",98.7056037884767,7.74253731343284,92.2574626865672,38.7350554419872,55.6366224753092,75.3682231275462,41.5303430079156,6253,82,9890,830,2,8,9,2880
"long_cut =  9 ; prob =  0.16",98.4846093133386,8.53544776119403,91.464552238806,38.8868112690102,55.757629920908,75.379373670984,41.946643213134,6239,96,9805,915,2,8,9,2880
"long_cut =  9 ; prob =  0.17",98.3425414364641,9.1044776119403,90.8955223880597,39.0008764241893,55.851898336994,75.3981701118265,42.2515391380827,6230,105,9744,976,2,8,9,2880
"long_cut =  9 ; prob =  0.18",97.9163378058406,10.5876865671642,89.4123134328358,39.2893336711426,56.0773855263753,75.4109122738767,43.0255057167986,6203,132,9585,1135,2,8,9,2880
"long_cut =  9 ; prob =  0.19",96.3851617995264,15.9141791044776,84.0858208955224,40.3835978835979,56.9191330692146,75.4572417202175,45.8047493403694,6106,229,9014,1706,2,8,9,2880
"long_cut =  9 ; prob =  0.2",93.7805840568272,23.7033582089552,76.2966417910448,42.0750708215297,58.0884869225128,75.2787633046123,49.7332160656699,5941,394,8179,2541,2,8,9,2880
"long_cut =  9 ; prob =  0.21",91.9968429360695,27.910447761194,72.089552238806,42.9920330480968,58.5993665476849,74.917729329494,51.7150395778364,5828,507,7728,2992,2,8,9,2880
"long_cut =  9 ; prob =  0.22",90.2288871349645,30.830223880597,69.169776119403,43.5305764983627,58.72803863146,74.289724727717,52.8935795954266,5716,619,7415,3305,2,8,9,2880
"long_cut =  9 ; prob =  0.23",89.171270718232,33.4608208955224,66.5391791044776,44.1949616648412,59.0992310508971,74.0910760190966,54.154206977426,5649,686,7133,3587,2,8,9,2880
"long_cut =  9 ; prob =  0.24",87.7032359905288,36.9123134328358,63.0876865671642,45.1010633980031,59.5689932454165,73.7672269576994,55.778364116095,5556,779,6763,3957,2,8,9,2880
"long_cut =  9 ; prob =  0.25",85.4617205998422,43.9832089552239,56.0167910447761,47.4122077239688,60.9890728849837,73.6418292118937,59.3902081501026,5414,921,6005,4715,2,8,9,2880
"long_cut =  9 ; prob =  0.26",83.18863456985,51.4272388059702,48.5727611940298,50.3006585854729,62.69331429931,73.5684172320406,63.2248607446497,5270,1065,5207,5513,2,8,9,2880
"long_cut =  9 ; prob =  0.27",80.9629044988161,57.2014925373134,42.7985074626866,52.783781002367,63.904809369549,73.1522948341273,66.0275579009088,5129,1206,4588,6132,2,8,9,2880
"long_cut =  9 ; prob =  0.28",78.7056037884767,62.0615671641791,37.9384328358209,55.0756655252402,64.8037431765012,72.4856802256273,68.2439167399589,4986,1349,4067,6653,2,8,9,2880
"long_cut =  9 ; prob =  0.29",76.63772691397,65.4850746268657,34.5149253731343,56.750438340152,65.2115513767629,71.6182327776958,69.6276751685723,4855,1480,3700,7020,2,8,9,2880
"long_cut =  9 ; prob =  0.3",74.9171270718232,68.2182835820896,31.7817164179104,58.211701214277,65.5162893429045,70.8506255038366,70.7065376722369,4746,1589,3407,7313,2,8,9,2880
"long_cut =  9 ; prob =  0.31",73.4175217048145,70.5317164179104,29.4682835820895,59.5518565941101,65.7617532697066,70.1508295625943,71.6036352975667,4651,1684,3159,7561,2,8,9,2880
"long_cut =  9 ; prob =  0.32",71.7600631412786,72.4253731343284,27.5746268656716,60.5971740869102,65.7078846570788,69.2101577248645,72.1782468484315,4546,1789,2956,7764,2,8,9,2880
"long_cut =  9 ; prob =  0.33",70.0236779794791,74.160447761194,25.839552238806,61.5598112683875,65.5195332693302,68.1496958151539,72.6238639695104,4436,1899,2770,7950,2,8,9,2880
"long_cut =  9 ; prob =  0.34",68.1294396211523,75.5410447761194,24.4589552238806,62.2081291438455,65.0342801175318,66.8566825701716,72.7880386983289,4316,2019,2622,8098,2,8,9,2880
"long_cut =  9 ; prob =  0.35",66.6614048934491,77.0429104477612,22.9570895522388,63.1807301017355,64.8744143175359,65.9349238071446,73.1867487540311,4223,2112,2461,8259,2,8,9,2880
"long_cut =  9 ; prob =  0.36",65.3354380426204,78.5820895522388,21.4179104477612,64.3201243201243,64.8238057948316,65.1298190401259,73.6616827909704,4139,2196,2296,8424,2,8,9,2880
"long_cut =  9 ; prob =  0.37",63.5832675611681,79.9440298507463,20.0559701492537,65.1990935577857,64.3810437145369,63.8999936544197,73.8669012019936,4028,2307,2150,8570,2,8,9,2880
"long_cut =  9 ; prob =  0.38",62.4625098658248,80.9421641791045,19.0578358208955,65.95,64.158897446291,63.130185067007,74.0779829961888,3957,2378,2043,8677,2,8,9,2880
"long_cut =  9 ; prob =  0.39",61.0418310970797,82.0242537313433,17.9757462686567,66.7414566793234,63.764531288647,62.1025245712083,74.2304309586631,3867,2468,1927,8793,2,8,9,2880
"long_cut =  9 ; prob =  0.4",59.7316495659037,83.0223880597015,16.9776119402985,67.5231977159172,63.3888935421727,61.1427094105481,74.3711521547933,3784,2551,1820,8900,2,8,9,2880
"long_cut =  9 ; prob =  0.41",58.3898973954223,83.7873134328358,16.2126865671642,68.0338421923855,62.8440366972477,60.0935763719661,74.353562005277,3699,2636,1738,8982,2,8,9,2880
"long_cut =  9 ; prob =  0.42",56.8745067087609,84.6641791044776,15.3358208955224,68.6678101772441,62.2172336384044,58.8975708634387,74.3418352389329,3603,2732,1644,9076,2,8,9,2880
"long_cut =  9 ; prob =  0.43",55.3591160220994,85.4291044776119,14.5708955223881,69.1852436377984,61.5047351806384,57.6638495182347,74.2597478745236,3507,2828,1562,9158,2,8,9,2880
"long_cut =  9 ; prob =  0.44",54.0805051302289,86.2126865671642,13.7873134328358,69.8613376835236,60.9662781386244,56.6393334215051,74.2773380240399,3426,2909,1478,9242,2,8,9,2880
"long_cut =  9 ; prob =  0.45",52.7545382794002,86.8190298507463,13.1809701492537,70.2839116719243,60.2705139765555,55.5241734507393,74.1659337437702,3342,2993,1413,9307,2,8,9,2880
"long_cut =  9 ; prob =  0.46",51.4601420678769,87.4253731343284,12.5746268656716,70.7465277777778,59.5814676048616,54.4276746360358,74.0662562298446,3260,3075,1348,9372,2,8,9,2880
"long_cut =  9 ; prob =  0.47",50.4025256511444,87.9850746268657,12.0149253731343,71.2564159785762,59.0421597633136,53.5360987223768,74.02521254764,3193,3142,1288,9432,2,8,9,2880
"long_cut =  9 ; prob =  0.48",49.2186266771902,88.6567164179105,11.3432835820895,71.9427780341486,58.4497141250351,52.5375749814653,74.0076223981237,3118,3217,1216,9504,2,8,9,2880
"long_cut =  9 ; prob =  0.49",48.1452249408051,89.1324626865672,10.8675373134328,72.3606168446026,57.8199052132701,51.5987142615463,73.9079448841982,3050,3285,1165,9555,2,8,9,2880
"long_cut =  9 ; prob =  0.5",46.9455406471981,89.580223880597,10.419776119403,72.6961623075043,57.0496834835987,50.5249566783324,73.7437701553797,2974,3361,1117,9603,2,8,9,2880
"long_cut =  9 ; prob =  0.51",45.8879242304657,90.0652985074627,9.93470149253731,73.1873111782477,56.4082662268361,49.5871997816594,73.6558194077983,2907,3428,1065,9655,2,8,9,2880
"long_cut =  9 ; prob =  0.52",44.5303867403315,90.4850746268657,9.51492537313433,73.4444155167925,55.4441823899371,48.3362461875878,73.4154206977426,2821,3514,1020,9700,2,8,9,2880
"long_cut =  9 ; prob =  0.53",43.0623520126283,90.8582089552239,9.14179104477611,73.5706580366774,54.3263964950712,46.9567612228036,73.1046613896218,2728,3607,980,9740,2,8,9,2880
"long_cut =  9 ; prob =  0.54",42.052091554854,91.1567164179104,8.84328358208956,73.7541528239203,53.5638886096311,46.0071843050566,72.9170331281149,2664,3671,948,9772,2,8,9,2880
"long_cut =  9 ; prob =  0.55",40.6945540647198,91.5391791044776,8.46082089552239,73.974175035868,52.5050916496945,44.7181266261925,72.6531808853709,2578,3757,907,9813,2,8,9,2880
"long_cut =  9 ; prob =  0.56",39.5895816890292,91.8936567164179,8.10634328358208,74.2671009771987,51.6474464579901,43.667514016088,72.465552623864,2508,3827,869,9851,2,8,9,2880
"long_cut =  9 ; prob =  0.57",38.4530386740331,92.2294776119403,7.7705223880597,74.5182012847966,50.7288629737609,42.5740151700514,72.2544708296687,2436,3899,833,9887,2,8,9,2880
"long_cut =  9 ; prob =  0.58",37.4112075769534,92.6772388059701,7.32276119402985,75.1188589540412,49.9473129610116,41.5862432005615,72.1489299325711,2370,3965,785,9935,2,8,9,2880
"long_cut =  9 ; prob =  0.59",36.4009471191792,92.9757462686567,7.02425373134329,75.3841124550507,49.095167127954,40.6000211275045,71.9613016710642,2306,4029,753,9967,2,8,9,2880
"long_cut =  9 ; prob =  0.6",35.2170481452249,93.2089552238806,6.7910447761194,75.397093612707,48.0094684742845,39.4183540054419,71.6681325124597,2231,4104,728,9992,2,8,9,2880
"long_cut =  9 ; prob =  0.61",34.1752170481452,93.4328358208955,6.56716417910448,75.4618333914256,47.0447631464581,38.3742777127867,71.4218704192319,2165,4170,704,10016,2,8,9,2880
"long_cut =  9 ; prob =  0.62",33.3701657458564,93.7033582089552,6.29664179104478,75.7977769809968,46.3393248575186,37.5768779551353,71.2928759894459,2114,4221,675,10045,2,8,9,2880
"long_cut =  9 ; prob =  0.63",32.249408050513,93.9272388059701,6.07276119402985,75.8351893095768,45.2541809724222,36.437896839552,71.0172969803577,2043,4292,651,10069,2,8,9,2880
"long_cut =  9 ; prob =  0.64",31.1602209944751,94.2164179104478,5.78358208955224,76.0986892829607,44.2154776570725,35.3332856017756,70.7944884198182,1974,4361,620,10100,2,8,9,2880
"long_cut =  9 ; prob =  0.65",30.0394632991318,94.4589552238806,5.54104477611941,76.2114537444934,43.0932971014493,34.1811258397097,70.5306361770742,1903,4432,594,10126,2,8,9,2880
"long_cut =  9 ; prob =  0.66",29.2028413575375,94.785447761194,5.21455223880597,76.7953507679535,42.3147301006404,33.3345345778226,70.4250952799765,1850,4485,559,10161,2,8,9,2880
"long_cut =  9 ; prob =  0.67",28.1136543014996,95.1119402985075,4.88805970149254,77.2668112798265,41.2268518518519,32.2119732320492,70.2257402521255,1781,4554,524,10196,2,8,9,2880
"long_cut =  9 ; prob =  0.68",27.4033149171271,95.2798507462687,4.72014925373134,77.4308652988403,40.4803544362831,31.4697991443695,70.067428906479,1736,4599,506,10214,2,8,9,2880
"long_cut =  9 ; prob =  0.69",26.4088397790055,95.5317164179104,4.46828358208955,77.7416356877323,39.4250029456816,30.4270333187837,69.8563471122838,1673,4662,479,10241,2,8,9,2880
"long_cut =  9 ; prob =  0.7",25.698500394633,95.7089552238806,4.2910447761194,77.9693486590038,38.6560607859432,29.6777016187837,69.7038991498094,1628,4707,460,10260,2,8,9,2880
"long_cut =  9 ; prob =  0.71",24.7198105761642,95.9701492537313,4.02985074626866,78.3783783783784,37.5855034201368,28.6414514595069,69.5045441219584,1566,4769,432,10288,2,8,9,2880
"long_cut =  9 ; prob =  0.72",23.6937647987372,96.0914179104478,3.90858208955224,78.1770833333333,36.3658388855239,27.5311812179017,69.1996481970097,1501,4834,419,10301,2,8,9,2880
"long_cut =  9 ; prob =  0.73",22.9518547750592,96.2779850746269,3.72201492537313,78.4673502428494,35.5153883732291,26.7348214614055,69.0413368513632,1454,4881,399,10321,2,8,9,2880
"long_cut =  9 ; prob =  0.74",22.4151539068666,96.4365671641791,3.56343283582089,78.8013318534961,34.9022981442792,26.1587208017095,68.9416593374377,1420,4915,382,10338,2,8,9,2880
"long_cut =  9 ; prob =  0.75",21.5153906866614,96.6138059701493,3.38619402985074,78.9687137891078,33.8171442749039,25.1791916057046,68.7188507768983,1363,4972,363,10357,2,8,9,2880
"long_cut =  9 ; prob =  0.76",20.741910023678,96.7537313432836,3.24626865671642,79.0613718411552,32.8623233712642,24.3315309977039,68.5194957490472,1314,5021,348,10372,2,8,9,2880
"long_cut =  9 ; prob =  0.77",19.8737174427782,96.8936567164179,3.10634328358209,79.0829145728643,31.7648542954459,23.3736818654389,68.2849604221636,1259,5076,333,10387,2,8,9,2880
"long_cut =  9 ; prob =  0.78",18.9265982636148,97.1455223880597,2.8544776119403,79.6677740863787,30.5867346938776,22.3319053827528,68.0914687774846,1199,5136,306,10414,2,8,9,2880
"long_cut =  9 ; prob =  0.79",17.9794790844515,97.285447761194,2.71455223880597,79.6503496503497,29.3367675466838,21.2738139708629,67.8276165347405,1139,5196,291,10429,2,8,9,2880
"long_cut =  9 ; prob =  0.8",17.1744277821626,97.4533582089552,2.54664179104478,79.9412196914034,28.2744282744283,20.3737687727051,67.6341248900616,1088,5247,273,10447,2,8,9,2880
"long_cut =  9 ; prob =  0.81",16.3851617995264,97.5932835820896,2.40671641791045,80.0925925925926,27.2048224348054,19.4849076437904,67.4289064790384,1038,5297,258,10462,2,8,9,2880
"long_cut =  9 ; prob =  0.82",15.7063930544594,97.7238805970149,2.27611940298508,80.3066989507668,26.2740955901769,18.717784717258,67.2588683670478,995,5340,244,10476,2,8,9,2880
"long_cut =  9 ; prob =  0.83",14.7434885556433,97.8731343283582,2.12686567164179,80.3786574870912,24.9166333199947,17.6213115991246,66.9950161243037,934,5401,228,10492,2,8,9,2880
"long_cut =  9 ; prob =  0.84",13.8279400157853,97.9664179104478,2.03358208955224,80.073126142596,23.5832548122224,16.5695694938337,66.7135737320434,876,5459,218,10502,2,8,9,2880
"long_cut =  9 ; prob =  0.85",13.0702446724546,98.0970149253731,1.90298507462686,80.2325581395349,22.4786208768834,15.6984680721978,66.5142187041923,828,5507,204,10516,2,8,9,2880
"long_cut =  9 ; prob =  0.86",12.3283346487766,98.2276119402985,1.77238805970149,80.43254376931,21.3796879277306,14.8417011896165,66.3207270595133,781,5554,190,10530,2,8,9,2880
"long_cut =  9 ; prob =  0.87",11.3812154696133,98.3582089552239,1.64179104477612,80.3790412486065,19.9391592920354,13.7401379730914,66.0510114335972,721,5614,176,10544,2,8,9,2880
"long_cut =  9 ; prob =  0.88",10.4656669297553,98.4328358208955,1.56716417910447,79.7833935018051,18.5040468880826,12.6666921401551,65.7578422749927,663,5672,168,10552,2,8,9,2880
"long_cut =  9 ; prob =  0.89",9.70797158642462,98.5261194029851,1.47388059701492,79.5601552393273,17.3044456949916,11.7757438823574,65.5350337144532,615,5720,158,10562,2,8,9,2880
"long_cut =  9 ; prob =  0.9",8.85556432517759,98.6567164179104,1.34328358208955,79.5744680851064,15.9375,10.7698214628528,65.3004983875696,561,5774,144,10576,2,8,9,2880
"long_cut =  9 ; prob =  0.91",8.00315706393055,98.7873134328358,1.21268656716418,79.5918367346939,14.5438898450947,9.75863263656311,65.065963060686,507,5828,130,10590,2,8,9,2880
"long_cut =  9 ; prob =  0.92",7.32438831886346,98.8619402985075,1.13805970149253,79.1808873720137,13.4084669845398,8.94854586129754,64.8607446496629,464,5871,122,10598,2,8,9,2880
"long_cut =  9 ; prob =  0.93",6.51933701657459,98.9458955223881,1.05410447761194,78.5171102661597,12.0390613613176,7.98345318178304,64.6144825564351,413,5922,113,10607,2,8,9,2880
"long_cut =  9 ; prob =  0.94",5.90370955011839,99.0671641791045,0.932835820895528,78.9029535864979,10.9854604200323,7.24413109165569,64.4620345939607,374,5961,100,10620,2,8,9,2880
"long_cut =  9 ; prob =  0.95",5.16179952644041,99.1977611940299,0.802238805970146,79.1767554479419,9.69176052163604,6.34877490001165,64.2685429492817,327,6008,86,10634,2,8,9,2880
"long_cut =  9 ; prob =  0.96",4.59352801894238,99.2910447761194,0.708955223880592,79.291553133515,8.68397493285586,5.65993698214494,64.1160949868074,291,6044,76,10644,2,8,9,2880
"long_cut =  9 ; prob =  0.97",3.88318863456985,99.3843283582089,0.615671641791049,78.8461538461538,7.40183541447269,4.79494776235771,63.9108765757842,246,6089,66,10654,2,8,9,2880
"long_cut =  9 ; prob =  0.98",3.01499605367009,99.5149253731343,0.485074626865667,78.6008230452675,5.80723624201885,3.73294766055584,63.6704778657285,191,6144,52,10668,2,8,9,2880
"long_cut =  9 ; prob =  0.99",2.11523283346488,99.6548507462687,0.345149253731347,78.3625730994152,4.11927451583154,2.62631805887656,63.4242157725007,134,6201,37,10683,2,8,9,2880
"long_cut =  9 ; prob =  1",0,100,0,NA,NA,NA,62.855467604808,0,6335,0,10720,2,8,9,2880
"long_cut =  9 ; prob =  random_rate",36.0036974272069,0.636115905168498,36.3884094831502,36.8437647800725,36.4188873305283,198.625684836104,53.3714285714286,2337,4154,4006,7003,2,8,9,2880
"long_cut =  9 ; prob =  random_50",51.3480203358496,0.493323644291035,50.6676355708965,37.4032095163281,43.2800934943514,220.817204301075,50.08,3333,3158,5578,5431,2,8,9,2880
