"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.73124139427471,0.524248596340617,-3.30232909798747,0.000958854986000638
"regionAS",-0.710449369391611,0.189839766255163,-3.74236327512487,0.000182297722864654
"regionEU",-0.359745838257328,0.186687213700761,-1.92699773662036,0.0539799120069433
"regionNA",-0.395892902217138,0.1911947381039,-2.07062655668903,0.0383937084210869
"regionOC",-0.221029364583072,0.365414969531775,-0.604872222028257,0.54526390135704
"regionSA",-0.735653287709304,0.22638268104458,-3.24960056270576,0.00115567209226412
"early_total_time_ms",1.22144287283895e-07,9.00896204354163e-09,13.5580865690802,7.09631546945089e-42
"early_number_of_events",0.00252617154099548,0.000286018562030258,8.83219439697845,1.02641856461081e-18
"fieldDeviceTypeLastMOBILE_PHONE",1.76010291689673,0.136885325167912,12.8582294321007,7.73276554993872e-38
"fieldDeviceTypeLastTABLET",1.5696731528858,0.181145919262059,8.66524158689434,4.50556552352473e-18
"fieldPlatformLastANDROID_MOBILE",0.608638224619822,0.49506700811507,1.22940574638,0.218919716835559
"fieldPlatformLastANDROID_TABLET",0.533883039293695,0.510116076081504,1.04659128446757,0.295288123337951
"fieldPlatformLastIOS",-1.75815780217572,0.595446225785813,-2.95267267813391,0.00315035816324698
"fieldPlatformLastIOS_MOBILE",-0.756535775846145,0.510701081327916,-1.48136709223136,0.138508778882941
"fieldPlatformLastIOS_TABLET",-0.629296921135798,0.523671493125025,-1.20170169542828,0.22947912403998
