"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set_number","Longterm_cutoff","Game_id"
"long_cut =  9 ; prob =  0",100,0,100,4.24508941659337,8.1444400697452,18.1444539120846,4.24508941659337,724,0,16331,0,2,8,9,2880
"long_cut =  9 ; prob =  0.01",89.7790055248619,33.1761680240034,66.8238319759966,5.62137853498227,10.5802881093839,22.4773497475621,35.5790090882439,650,74,10913,5418,2,8,9,2880
"long_cut =  9 ; prob =  0.02",84.1160220994475,43.5674484109975,56.4325515890025,6.19847328244275,11.5461181154612,23.9367974215864,45.2887716212255,609,115,9216,7115,2,8,9,2880
"long_cut =  9 ; prob =  0.03",77.0718232044199,49.2315228706142,50.7684771293858,6.30579726522771,11.6577875274209,23.7547892720307,50.4133685136324,558,166,8291,8040,2,8,9,2880
"long_cut =  9 ; prob =  0.04",69.3370165745856,64.7174086093932,35.2825913906068,8.01404853128991,14.3674871207785,27.4017467248908,64.9135150982117,502,222,5762,10569,2,8,9,2880
"long_cut =  9 ; prob =  0.05",61.0497237569061,70.0385769395628,29.9614230604372,8.28491096532334,14.5898663145734,26.8497144939861,69.6569920844327,442,282,4893,11438,2,8,9,2880
"long_cut =  9 ; prob =  0.06",52.7624309392265,80.289020880534,19.710979119466,10.6081643987781,17.6647398843931,29.3981837771279,79.1204925241865,382,342,3219,13112,2,8,9,2880
"long_cut =  9 ; prob =  0.07",43.3701657458564,87.0001836997122,12.9998163002878,12.8846942962659,19.8671306548561,29.4393399587474,85.1480504250953,314,410,2123,14208,2,8,9,2880
"long_cut =  9 ; prob =  0.08",37.292817679558,90.4414916416631,9.5585083583369,14.7460404150737,21.1350293542074,28.5593399619209,88.1852829082381,270,454,1561,14770,2,8,9,2880
"long_cut =  9 ; prob =  0.09",29.5580110497238,92.7499846916906,7.25001530830935,15.307582260372,20.1696512723845,24.9184909175594,90.067428906479,214,510,1184,15147,2,8,9,2880
"long_cut =  9 ; prob =  0.1",25,94.2930622742024,5.70693772579757,16.2623539982031,19.7060424605335,22.5742080319282,91.3515098211668,181,543,932,15399,2,8,9,2880
"long_cut =  9 ; prob =  0.11",19.475138121547,95.5544669646684,4.44553303533157,16.2629757785467,17.7247014456317,18.7350518203561,92.3248314277338,141,583,726,15605,2,8,9,2880
"long_cut =  9 ; prob =  0.12",16.8508287292818,96.3994856408058,3.60051435919417,17.1830985915493,17.0153417015342,16.916250693289,93.0225740252125,122,602,588,15743,2,8,9,2880
"long_cut =  9 ; prob =  0.13",14.7790055248619,97.0852978997,2.91470210030005,18.3533447684391,16.3733741392502,15.377982178787,93.5913221929053,107,617,476,15855,2,8,9,2880
"long_cut =  9 ; prob =  0.14",12.8453038674033,97.4037107341865,2.59628926581348,17.9883945841393,14.9879129734085,13.6243773806036,93.8141307534447,93,631,424,15907,2,8,9,2880
"long_cut =  9 ; prob =  0.15",11.3259668508287,97.764986834854,2.23501316514604,18.34451901566,14.0051238257899,12.2644331438827,94.0955731457051,82,642,365,15966,2,8,9,2880
"long_cut =  9 ; prob =  0.16",10.2209944751381,98.1140162880412,1.88598371195885,19.3717277486911,13.3815551537071,11.287370347773,94.3828789211375,74,650,308,16023,2,8,9,2880
"long_cut =  9 ; prob =  0.17",9.25414364640884,98.3038393239851,1.69616067601495,19.4767441860465,12.5468164794007,10.3395061728395,94.5236001172677,67,657,277,16054,2,8,9,2880
"long_cut =  9 ; prob =  0.18",7.87292817679558,98.5304023023697,1.46959769763028,19.1919191919192,11.1655239960823,8.92577513310366,94.6819114629141,57,667,240,16091,2,8,9,2880
"long_cut =  9 ; prob =  0.19",6.9060773480663,98.7263486620538,1.27365133794624,19.3798449612403,10.183299389002,7.92644261255549,94.8284960422164,50,674,208,16123,2,8,9,2880
"long_cut =  9 ; prob =  0.2",5.80110497237569,98.9161716979977,1.08382830200233,19.1780821917808,8.90774125132556,6.74157303370786,94.9633538551744,42,682,177,16154,2,8,9,2880
"long_cut =  9 ; prob =  0.21",5.24861878453039,99.0202682015798,0.97973179842018,19.1919191919192,8.24295010845987,6.14091790562379,95.0395778364116,38,686,160,16171,2,8,9,2880
"long_cut =  9 ; prob =  0.22",4.14364640883978,99.1304880289021,0.869511971097914,17.4418604651163,6.69642857142857,4.88917861799218,95.0982116681325,30,694,142,16189,2,8,9,2880
"long_cut =  9 ; prob =  0.23",4.00552486187845,99.1978445900435,0.802155409956529,18.125,6.56108597285068,4.74476439790576,95.1568454998534,29,695,131,16200,2,8,9,2880
"long_cut =  9 ; prob =  0.24",3.03867403314917,99.2407078562244,0.759292143775636,15.0684931506849,5.05747126436782,3.61604207758054,95.1568454998534,22,702,124,16207,2,8,9,2880
"long_cut =  9 ; prob =  0.25",3.03867403314917,99.2590778274447,0.740922172555258,15.3846153846154,5.07497116493656,3.61961171437973,95.1744356493697,22,702,121,16210,2,8,9,2880
"long_cut =  9 ; prob =  0.26",2.76243093922652,99.3325577123262,0.667442287673747,15.5038759689922,4.68933177022274,3.30578512396694,95.2330694810906,20,704,109,16222,2,8,9,2880
"long_cut =  9 ; prob =  0.27",2.76243093922652,99.369297654767,0.630702345232992,16.260162601626,4.72255017709563,3.31235508446505,95.2682497801231,20,704,103,16228,2,8,9,2880
"long_cut =  9 ; prob =  0.28",2.34806629834254,99.4244075684281,0.575592431571859,15.3153153153153,4.07185628742515,2.82673761223811,95.3034300791557,17,707,94,16237,2,8,9,2880
"long_cut =  9 ; prob =  0.29",2.34806629834254,99.4795174820893,0.520482517910725,16.6666666666667,4.11622276029056,2.83522348232155,95.3562005277045,17,707,85,16246,2,8,9,2880
"long_cut =  9 ; prob =  0.3",2.20994475138122,99.5101341007899,0.489865899210096,16.6666666666667,3.90243902439024,2.67379679144385,95.3796540603929,16,708,80,16251,2,8,9,2880
"long_cut =  9 ; prob =  0.31",1.51933701657459,99.5285040720103,0.471495927989718,12.5,2.70935960591133,1.84316353887399,95.3679272940487,11,713,77,16254,2,8,9,2880
"long_cut =  9 ; prob =  0.32",1.51933701657459,99.5468740432307,0.453125956769329,12.9411764705882,2.71940667490729,1.8450184501845,95.3855174435649,11,713,74,16257,2,8,9,2880
"long_cut =  9 ; prob =  0.33",1.51933701657459,99.5529973669708,0.447002633029203,13.0952380952381,2.72277227722772,1.84563758389262,95.391380826737,11,713,73,16258,2,8,9,2880
"long_cut =  9 ; prob =  0.34",1.51933701657459,99.5652440144511,0.434755985548951,13.4146341463415,2.72952853598015,1.84687709872398,95.4031075930812,11,713,71,16260,2,8,9,2880
"long_cut =  9 ; prob =  0.35",1.10497237569061,99.5836139856714,0.416386014328574,10.5263157894737,2,1.34589502018843,95.4031075930812,8,716,68,16263,2,8,9,2880
"long_cut =  9 ; prob =  0.36",0.828729281767956,99.5836139856714,0.416386014328574,8.10810810810811,1.50375939849624,1.01010101010101,95.391380826737,6,718,68,16263,2,8,9,2880
