"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-30.9930298545166,684.377048293954,-0.0452864834257336,0.963878961049268
"regionAS",11.0301639161009,297.788146190855,0.0370403055232143,0.970452868616444
"regionEU",13.8954746046633,297.787938065218,0.0466623151190902,0.962782365788627
"regionNA",14.4562652688282,297.787942669074,0.0485455023439051,0.961281501540514
"regionOC",13.8237017678324,297.788829364015,0.0464211562178324,0.962974574464608
"regionSA",11.9920471555107,297.789614881436,0.0402701993495821,0.967877711973029
"early_total_time_ms",2.86451637653618e-08,8.93866872353105e-09,3.20463423036961,0.00135234216210967
"early_number_of_events",0.00185290122833614,0.000333486368659251,5.5561528220345,2.75785438703307e-08
"fieldDeviceTypeLastMOBILE_PHONE",1.31952890537322,0.316880013900455,4.1641278953861,3.12544892133397e-05
"fieldDeviceTypeLastTABLET",1.65564083287924,0.47229900022721,3.50549298660967,0.000455762508892726
"fieldPlatformLastANDROID_MOBILE",12.2117789269491,616.193430039895,0.0198180933642191,0.984188484300364
"fieldPlatformLastANDROID_TABLET",12.6868890392435,616.19351196955,0.0205891311622094,0.983573410705795
"fieldPlatformLastIOS",11.7832739086811,616.193751334431,0.0191226767281609,0.984743241323403
"fieldPlatformLastIOS_MOBILE",12.4104853441438,616.193482798546,0.0201405657323402,0.983931239925376
"fieldPlatformLastIOS_TABLET",12.0207823256909,616.193583906847,0.0195081264064382,0.984435754342742
