"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set_number","Longterm_cutoff","Game_id"
"long_cut =  9 ; prob =  0",100,0,100,37.5514560146364,54.5998669917978,75.0411309487539,37.5514560146364,4926,0,8192,0,2,8,9,2880
"long_cut =  9 ; prob =  0.01",100,0,100,37.5514560146364,54.5998669917978,75.0411309487539,37.5514560146364,4926,0,8192,0,2,8,9,2880
"long_cut =  9 ; prob =  0.02",100,0,100,37.5514560146364,54.5998669917978,75.0411309487539,37.5514560146364,4926,0,8192,0,2,8,9,2880
"long_cut =  9 ; prob =  0.03",100,0,100,37.5514560146364,54.5998669917978,75.0411309487539,37.5514560146364,4926,0,8192,0,2,8,9,2880
"long_cut =  9 ; prob =  0.04",99.7969955339018,1.123046875,98.876953125,37.7688998156116,54.7987961208338,75.122249388753,38.1765513035524,4916,10,8100,92,2,8,9,2880
"long_cut =  9 ; prob =  0.05",99.4518879415347,3.173828125,96.826171875,38.180967968202,55.1782395674945,75.2881512217612,39.3276414087513,4899,27,7932,260,2,8,9,2880
"long_cut =  9 ; prob =  0.06",99.3300852618758,4.45556640625,95.54443359375,38.4669811320755,55.4573274396464,75.4533678756477,40.0823296234182,4893,33,7827,365,2,8,9,2880
"long_cut =  9 ; prob =  0.07",99.1270807957775,4.8095703125,95.1904296875,38.5064269379386,55.4665757937184,75.3898409757604,40.227168775728,4883,43,7798,394,2,8,9,2880
"long_cut =  9 ; prob =  0.08",99.0458790093382,5.13916015625,94.86083984375,38.5691699604743,55.518889394629,75.4002596278667,40.4025003811557,4879,47,7771,421,2,8,9,2880
"long_cut =  9 ; prob =  0.09",98.9646772228989,5.2490234375,94.7509765625,38.5771939542613,55.5144337527757,75.3687270028756,40.440615947553,4875,51,7762,430,2,8,9,2880
"long_cut =  9 ; prob =  0.1",98.9037758830694,5.35888671875,94.64111328125,38.590099009901,55.518204090935,75.3503046800086,40.4863546272298,4872,54,7753,439,2,8,9,2880
"long_cut =  9 ; prob =  0.11",98.84287454324,5.4443359375,94.5556640625,38.5969084423306,55.5156490507953,75.3272069061543,40.5168470803476,4869,57,7746,446,2,8,9,2880
"long_cut =  9 ; prob =  0.12",98.8022736500203,5.517578125,94.482421875,38.6055366066471,55.5181657445959,75.3149082355854,40.5473395334655,4867,59,7740,452,2,8,9,2880
"long_cut =  9 ; prob =  0.13",98.8022736500203,5.62744140625,94.37255859375,38.6331163676774,55.5466788404474,75.3358925143954,40.6159475529806,4867,59,7731,461,2,8,9,2880
"long_cut =  9 ; prob =  0.14",98.7819732034105,5.67626953125,94.32373046875,38.6405145715874,55.5511159312746,75.3320741864569,40.638816892819,4866,60,7727,465,2,8,9,2880
"long_cut =  9 ; prob =  0.15",98.6601705237515,6.89697265625,93.10302734375,38.9204772963882,55.8203640957905,75.4869373427355,41.3553895410886,4860,66,7627,565,2,8,9,2880
"long_cut =  9 ; prob =  0.16",98.4977669508729,8.0322265625,91.9677734375,39.1732601324076,56.0536044362292,75.5998753505765,42.003354169843,4852,74,7534,658,2,8,9,2880
"long_cut =  9 ; prob =  0.17",97.787251319529,11.1572265625,88.8427734375,39.8263745349318,56.6006697608836,75.7413755149533,43.6880622046044,4817,109,7278,914,2,8,9,2880
"long_cut =  9 ; prob =  0.18",97.097036134795,14.61181640625,85.38818359375,40.6096111394125,57.2677203065134,75.964042945175,45.5862174111907,4783,143,6995,1197,2,8,9,2880
"long_cut =  9 ; prob =  0.19",96.2241169305725,17.626953125,82.373046875,41.2604456824513,57.755574509565,75.9810207745576,47.1413325202013,4740,186,6748,1444,2,8,9,2880
"long_cut =  9 ; prob =  0.2",94.9857896873731,22.27783203125,77.72216796875,42.3592250588448,58.5900325569747,76.0813008130081,49.5807287696295,4679,247,6367,1825,2,8,9,2880
"long_cut =  9 ; prob =  0.21",93.3008526187576,27.52685546875,72.47314453125,43.6342922244375,59.4605084416845,75.9996031352317,52.2259490776033,4596,330,5937,2255,2,8,9,2880
"long_cut =  9 ; prob =  0.22",91.4738124238733,33.2763671875,66.7236328125,45.1865222623345,60.4913411196134,75.9199353012535,55.1303552370788,4506,420,5466,2726,2,8,9,2880
"long_cut =  9 ; prob =  0.23",89.5452699959399,38.28125,61.71875,46.5934298088096,61.2936844299312,75.6059099790888,57.5316359201098,4411,515,5056,3136,2,8,9,2880
"long_cut =  9 ; prob =  0.24",87.5152253349574,44.6533203125,55.3466796875,48.7394007914076,62.6098322561905,75.5017688885775,60.7485897240433,4311,615,4534,3658,2,8,9,2880
"long_cut =  9 ; prob =  0.25",84.9167681688997,50.390625,49.609375,50.7214744755669,63.5086920215593,74.827376480269,63.3556944656198,4183,743,4064,4128,2,8,9,2880
"long_cut =  9 ; prob =  0.26",82.5822168087698,56.43310546875,43.56689453125,53.2669896556239,64.7616015282974,74.3937676017702,66.2524775118158,4068,858,3569,4623,2,8,9,2880
"long_cut =  9 ; prob =  0.27",80.349167681689,60.546875,39.453125,55.0486787204451,65.3350940904589,73.5851862869041,67.982924226254,3958,968,3232,4960,2,8,9,2880
"long_cut =  9 ; prob =  0.28",78.1161185546082,64.111328125,35.888671875,56.6882734236889,65.6991633942291,72.6256983240223,69.3703308431163,3848,1078,2940,5252,2,8,9,2880
"long_cut =  9 ; prob =  0.29",76.045473000406,67.19970703125,32.80029296875,58.2309964246852,65.9565102561845,71.6608639094005,70.5214209483153,3746,1180,2687,5505,2,8,9,2880
"long_cut =  9 ; prob =  0.3",74.0763296792529,69.4091796875,30.5908203125,59.285134037368,65.8604819059651,70.555705943772,71.1617624637902,3649,1277,2506,5686,2,8,9,2880
"long_cut =  9 ; prob =  0.31",72.2695899309785,71.56982421875,28.43017578125,60.4516895907624,65.83448913546,69.5502676513109,71.832596432383,3560,1366,2329,5863,2,8,9,2880
"long_cut =  9 ; prob =  0.32",70.7267559886318,73.42529296875,26.57470703125,61.5438968380145,65.8165674884292,68.6773112556673,72.4119530416222,3484,1442,2177,6015,2,8,9,2880
"long_cut =  9 ; prob =  0.33",69.2042224928948,75.0244140625,24.9755859375,62.4931255728689,65.6776803776129,67.7491156246274,72.8388473852721,3409,1517,2046,6146,2,8,9,2880
"long_cut =  9 ; prob =  0.34",67.7222898903776,76.47705078125,23.52294921875,63.3859015770473,65.4823829620179,66.8081868065847,73.1895105961275,3336,1590,1927,6265,2,8,9,2880
"long_cut =  9 ; prob =  0.35",66.4433617539586,77.84423828125,22.15576171875,64.3278301886792,65.3684841222289,66.0091965150048,73.5630431468212,3273,1653,1815,6377,2,8,9,2880
"long_cut =  9 ; prob =  0.36",65.2862362971985,79.3212890625,20.6787109375,65.4989816700611,65.392435949573,65.328674737954,74.0509223967068,3216,1710,1694,6498,2,8,9,2880
"long_cut =  9 ; prob =  0.37",64.0073081607795,80.5908203125,19.4091796875,66.4769133459836,65.2187403040645,64.4864400539944,74.3634700411648,3153,1773,1590,6602,2,8,9,2880
"long_cut =  9 ; prob =  0.38",62.5050751116525,81.73828125,18.26171875,67.3005464480874,64.8142300810441,63.408707113143,74.5159323067541,3079,1847,1496,6696,2,8,9,2880
"long_cut =  9 ; prob =  0.39",60.9825416159156,82.65380859375,17.34619140625,67.8870056497175,64.2498128542402,62.2487463218534,74.5159323067541,3004,1922,1421,6771,2,8,9,2880
"long_cut =  9 ; prob =  0.4",59.3991067803492,83.7158203125,16.2841796875,68.6854460093897,63.7056390158938,61.0499081956268,74.5845403262692,2926,2000,1334,6858,2,8,9,2880
"long_cut =  9 ; prob =  0.41",57.8968737312221,84.4970703125,15.5029296875,69.1897137311984,63.0415561450044,59.8505833962898,74.5083091934746,2852,2074,1270,6922,2,8,9,2880
"long_cut =  9 ; prob =  0.42",56.516443361754,85.33935546875,14.66064453125,69.861982434128,62.4845696330378,58.7614504622399,74.5159323067541,2784,2142,1201,6991,2,8,9,2880
"long_cut =  9 ; prob =  0.43",55.4811205846529,85.986328125,14.013671875,70.419994846689,62.0642670602929,57.939368242527,74.531178533313,2733,2193,1148,7044,2,8,9,2880
