"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.24024961344293,0.189186202925089,-6.55570857846345,5.53782850090044e-11
"regionAS",-0.708625608104892,0.175631774433039,-4.03472327483124,5.46666860492919e-05
"regionEU",-0.545445526338846,0.173331073818592,-3.14684213466368,0.00165044044513157
"regionNA",-0.478994783607959,0.174202099323225,-2.7496498921015,0.00596589699236053
"regionOC",-0.480256504455686,0.217903804571103,-2.20398402589147,0.0275254675179382
"regionSA",-0.570908837827746,0.209760498949442,-2.72171758117982,0.00649436171765276
"early_total_time_ms",2.4345977713283e-08,5.60643780344571e-09,4.34250384412007,1.40868019947525e-05
"early_number_of_events",0.00594135043869576,0.000252072570714461,23.5699997895682,7.83000643792217e-123
"fieldDeviceTypeLastMOBILE_PHONE",1.84694287308037,0.120169652991019,15.3694616495099,2.62339926493696e-53
"fieldDeviceTypeLastTABLET",1.98590461867289,0.133067443207863,14.92404581315,2.29900718451207e-50
"fieldPlatformLastANDROID_MOBILE",0.136858231904183,0.0914569645676102,1.49642219760103,0.134543668604222
"fieldPlatformLastANDROID_TABLET",0.154216128877863,0.111107242063501,1.38799349181688,0.165139026905415
"fieldPlatformLastIOS",-1.60094423541934,0.145047717619481,-11.0373624741843,2.52331458941964e-28
"fieldPlatformLastIOS_MOBILE",-1.24968629783218,0.141976580807076,-8.80205940112266,1.34328046999014e-18
"fieldPlatformLastIOS_TABLET",-1.47349659015905,0.154969194854274,-9.50831932465454,1.93767673738361e-21
