"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set_number","Longterm_cutoff","Game_id"
"long_cut =  9 ; prob =  0",100,0,100,3.88016465924684,7.47046305129522,16.794245743698,3.88016465924684,509,0,12609,0,2,8,9,2880
"long_cut =  9 ; prob =  0.01",97.6424361493124,29.3837734951225,70.6162265048775,5.28667163067759,10.0302724520686,21.7277258022209,32.0323220003049,497,12,8904,3705,2,8,9,2880
"long_cut =  9 ; prob =  0.02",93.909626719057,41.8827821397415,58.1172178602585,6.12349474763003,11.4972940469032,24.283682178419,43.9015093764293,478,31,7328,5281,2,8,9,2880
"long_cut =  9 ; prob =  0.03",88.6051080550098,56.2058846855421,43.7941153144579,7.55064456721915,13.9154581919161,28.1558246972156,57.4630279005946,451,58,5522,7087,2,8,9,2880
"long_cut =  9 ; prob =  0.04",80.7465618860511,64.7870568641447,35.2129431358553,8.47247990105133,15.3358208955224,29.8388267750835,65.4063119377954,411,98,4440,8169,2,8,9,2880
"long_cut =  9 ; prob =  0.05",68.3693516699411,76.6674597509715,23.3325402490285,10.5775075987842,18.3206106870229,32.6699211415697,76.3454794938253,348,161,2942,9667,2,8,9,2880
"long_cut =  9 ; prob =  0.06",57.9567779960707,82.6869696248711,17.3130303751289,11.9047619047619,19.7522597924339,32.6761187416925,81.7273974691264,295,214,2183,10426,2,8,9,2880
"long_cut =  9 ; prob =  0.07",48.3300589390963,87.1361725751447,12.8638274248553,13.169164882227,20.6983592763988,31.5061475409836,85.6304314682116,246,263,1622,10987,2,8,9,2880
"long_cut =  9 ; prob =  0.08",41.0609037328094,90.4750574986121,9.5249425013879,14.822695035461,21.7821782178218,30.3250145095763,88.5577069675255,209,300,1201,11408,2,8,9,2880
"long_cut =  9 ; prob =  0.09",34.1846758349705,92.6481084939329,7.3518915060671,15.8038147138965,21.6149068322981,27.733503347147,90.3796310413173,174,335,927,11682,2,8,9,2880
"long_cut =  9 ; prob =  0.1",29.4695481335953,94.1708303592672,5.82916964073281,16.9491525423729,21.5208034433285,25.6761383087984,91.6603140722671,150,359,735,11874,2,8,9,2880
"long_cut =  9 ; prob =  0.11",25.9332023575639,95.4397652470458,4.56023475295424,18.6704384724187,21.7105263157895,24.061246810062,92.7427961579509,132,377,575,12034,2,8,9,2880
"long_cut =  9 ; prob =  0.12",21.2180746561886,96.3280196684908,3.67198033150924,18.9141856392294,20,20.7134637514384,93.4136301265437,108,401,463,12146,2,8,9,2880
"long_cut =  9 ; prob =  0.13",18.664047151277,96.9862796415259,3.0137203584741,20,19.3089430894309,18.9167662285942,93.9472480561061,95,414,380,12229,2,8,9,2880
"long_cut =  9 ; prob =  0.14",15.5206286836935,97.4700610674915,2.52993893250852,19.8492462311558,17.4200661521499,16.228430566968,94.290288153682,79,430,319,12290,2,8,9,2880
"long_cut =  9 ; prob =  0.15",13.1630648330059,97.8348798477278,2.16512015227218,19.7058823529412,15.7832744405183,14.0993265993266,94.5494740051837,67,442,273,12336,2,8,9,2880
"long_cut =  9 ; prob =  0.16",12.1807465618861,98.1838369418669,1.81616305813308,21.3058419243986,15.5,13.3218736570692,94.8467754230828,62,447,229,12380,2,8,9,2880
"long_cut =  9 ; prob =  0.17",11.1984282907662,98.429693076374,1.57030692362599,22.3529411764706,14.9214659685864,12.4399825403754,95.0449763683488,57,452,198,12411,2,8,9,2880
"long_cut =  9 ; prob =  0.18",10.0196463654224,98.5803790942977,1.41962090570228,22.1739130434783,13.8024357239513,11.2533097969991,95.1440768409819,51,458,179,12430,2,8,9,2880
"long_cut =  9 ; prob =  0.19",9.03732809430256,98.7865810135617,1.21341898643826,23.1155778894472,12.9943502824859,10.2908277404922,95.3041622198506,46,463,153,12456,2,8,9,2880
"long_cut =  9 ; prob =  0.2",7.85854616895874,98.9293361884368,1.07066381156317,22.8571428571429,11.6959064327485,9.04568068747173,95.3956395792041,40,469,135,12474,2,8,9,2880
"long_cut =  9 ; prob =  0.21",7.85854616895874,99.0403679911174,0.959632008882549,24.8447204968944,11.9402985074627,9.10332271279017,95.5023631651166,40,469,121,12488,2,8,9,2880
"long_cut =  9 ; prob =  0.22",6.67976424361493,99.1355381077009,0.864461892299151,23.7762237762238,10.4294478527607,7.80174391922901,95.5481018447934,34,475,109,12500,2,8,9,2880
"long_cut =  9 ; prob =  0.23",6.09037328094303,99.2069156951384,0.793084304861602,23.6641221374046,9.6875,7.15274573142593,95.5938405244702,31,478,100,12509,2,8,9,2880
"long_cut =  9 ; prob =  0.24",5.50098231827112,99.2624315964787,0.737568403521294,23.1404958677686,8.88888888888889,6.49049605934168,95.624332977588,28,481,93,12516,2,8,9,2880
"long_cut =  9 ; prob =  0.25",5.50098231827112,99.3338091839163,0.666190816083745,25,9.01771336553945,6.51769087523278,95.6929409971032,28,481,84,12525,2,8,9,2880
"long_cut =  9 ; prob =  0.26",5.50098231827112,99.4131176144024,0.586882385597587,27.4509803921569,9.16530278232406,6.54817586529467,95.7691721298979,28,481,74,12535,2,8,9,2880
"long_cut =  9 ; prob =  0.27",5.50098231827112,99.4607026726941,0.539297327305888,29.1666666666667,9.25619834710744,6.56660412757974,95.8149108095746,28,481,68,12541,2,8,9,2880
"long_cut =  9 ; prob =  0.28",5.10805500982318,99.5003568879372,0.499643112062809,29.2134831460674,8.69565217391304,6.11764705882353,95.837780149413,26,483,63,12546,2,8,9,2880
