"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-17.5319130637608,281.056048580555,-0.0623787075649284,0.950261250834848
"regionAS",11.9644307580504,281.056120159109,0.0425695435889357,0.966044674167626
"regionEU",13.9373131834518,281.056021158746,0.0495890930426989,0.960449838430609
"regionNA",14.4469158678076,281.056019192536,0.0514022646065831,0.959004980265578
"regionOC",14.7208949372675,281.056095303368,0.0523770705679874,0.958228244069824
"regionSA",11.5442819017422,281.057803444947,0.0410744044827898,0.967236579642292
"early_total_time_ms",-1.15303756023425e-09,1.88615499476037e-09,-0.611316441881671,0.540990108111238
"early_number_of_events",0.00300999613802702,0.000213803298363525,14.0783428556335,5.16057547066209e-45
"fieldDeviceTypeLastMOBILE_PHONE",1.14116157954056,0.215668904899929,5.2912661659318,1.21472429178231e-07
"fieldDeviceTypeLastTABLET",1.64456244797084,0.224586513410475,7.32262335345614,2.43169611333061e-13
"fieldPlatformLastANDROID_MOBILE",-0.982399814930575,0.191596024259014,-5.12745407285953,2.93686592659239e-07
"fieldPlatformLastANDROID_TABLET",-0.666219410404203,0.229285008971206,-2.905638765454,0.00366504297213973
"fieldPlatformLastIOS",-1.24558003043532,0.240054086409544,-5.18874745714721,2.11713285556604e-07
"fieldPlatformLastIOS_MOBILE",-1.30767712383699,0.249144841903267,-5.2486622393921,1.5320767913828e-07
"fieldPlatformLastIOS_TABLET",-1.70572620898429,0.261240514458436,-6.52933260570376,6.60633991203754e-11
