"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set_number","Longterm_cutoff","Game_id"
"long_cut =  9 ; prob =  0",100,0,100,35.6936979044948,52.6092198174407,73.5119525108295,35.6936979044948,4582,0,8255,0,2,8,9,2880
"long_cut =  9 ; prob =  0.01",100,0,100,35.6936979044948,52.6092198174407,73.5119525108295,35.6936979044948,4582,0,8255,0,2,8,9,2880
"long_cut =  9 ; prob =  0.02",100,0,100,35.6936979044948,52.6092198174407,73.5119525108295,35.6936979044948,4582,0,8255,0,2,8,9,2880
"long_cut =  9 ; prob =  0.03",100,0.0484554815263477,99.9515445184737,35.7048235019091,52.6213034740167,73.5213889156317,35.724857832827,4582,0,8251,4,2,8,9,2880
"long_cut =  9 ; prob =  0.04",100,0.0847970926711084,99.9152029073289,35.7131722525331,52.6303698598668,73.5284678092304,35.7482277790761,4582,0,8248,7,2,8,9,2880
"long_cut =  9 ; prob =  0.05",100,0.193821926105391,99.8061780738946,35.738241946806,52.6575877722232,73.5497126713538,35.8183376178235,4582,0,8239,16,2,8,9,2880
"long_cut =  9 ; prob =  0.06",100,0.230163537250151,99.7698364627499,35.7466063348416,52.6666666666667,73.5567970204842,35.8417075640726,4582,0,8236,19,2,8,9,2880
"long_cut =  9 ; prob =  0.07",99.9781754692274,0.399757722592368,99.6002422774076,35.7806764039678,52.7006039689387,73.5761780861521,35.9429773311521,4581,1,8222,33,2,8,9,2880
"long_cut =  9 ; prob =  0.08",99.9781754692274,0.436099333737129,99.5639006662629,35.7890625,52.7096996893338,73.5832690824981,35.9663472774013,4581,1,8219,36,2,8,9,2880
"long_cut =  9 ; prob =  0.09",99.9781754692274,0.520896426408237,99.4791035735918,35.8086453529274,52.7309352517986,73.5998200571961,36.0208771519826,4581,1,8212,43,2,8,9,2880
"long_cut =  9 ; prob =  0.1",99.9563509384548,0.557238037552998,99.442761962447,35.8120259598092,52.731564101088,73.5932127133078,36.0364571161486,4580,2,8209,46,2,8,9,2880
"long_cut =  9 ; prob =  0.11",99.9563509384548,0.569351907934585,99.4306480920654,35.8148263997498,52.734599884859,73.5955778377684,36.0442470982317,4580,2,8208,47,2,8,9,2880
"long_cut =  9 ; prob =  0.12",99.9563509384548,0.569351907934585,99.4306480920654,35.8148263997498,52.734599884859,73.5955778377684,36.0442470982317,4580,2,8208,47,2,8,9,2880
"long_cut =  9 ; prob =  0.13",99.9127018769097,0.714718352513628,99.2852816474864,35.8384217942696,52.7540908043328,73.5965532763166,36.1221469190621,4578,4,8196,59,2,8,9,2880
"long_cut =  9 ; prob =  0.14",99.9127018769097,0.78740157480315,99.2125984251969,35.8552631578947,52.7723342939481,73.6107537947003,36.1688868115603,4578,4,8190,65,2,8,9,2880
"long_cut =  9 ; prob =  0.15",99.7817546922741,1.7565112053301,98.2434887946699,36.0510960416338,52.9657089898054,73.7181554337311,36.7453454857054,4572,10,8110,145,2,8,9,2880
"long_cut =  9 ; prob =  0.16",99.6508075076386,2.07147183525136,97.9285281647486,36.0948616600791,52.9944289693593,73.6974627154755,36.9011451273662,4566,16,8084,171,2,8,9,2880
"long_cut =  9 ; prob =  0.17",99.4325621999127,2.49545729860691,97.5045427013931,36.1443871479572,53.0168150346192,73.6430349464973,37.0958946794422,4556,26,8049,206,2,8,9,2880
"long_cut =  9 ; prob =  0.18",99.2361414229594,3.46456692913386,96.5354330708661,36.3294982422499,53.1875073107966,73.7096355855272,37.6489834073382,4547,35,7969,286,2,8,9,2880
"long_cut =  9 ; prob =  0.19",98.5814054997818,5.22107813446396,94.778921865536,36.6015719957864,53.3829699225906,73.6411360005217,38.5448313468879,4517,65,7824,431,2,8,9,2880
"long_cut =  9 ; prob =  0.2",98.4504583151462,6.15384615384615,93.8461538461538,36.8004568445097,53.5748218527316,73.7428889034199,39.0979200747838,4511,71,7747,508,2,8,9,2880
"long_cut =  9 ; prob =  0.21",98.3195111305107,6.86856450635978,93.1314354936402,36.9474288526204,53.7108792846498,73.8016447691753,39.510789125185,4505,77,7688,567,2,8,9,2880
"long_cut =  9 ; prob =  0.22",97.8830205150589,7.91035735917626,92.0896426408237,37.1059816331596,53.8124662547243,73.7300674009535,40.0249279426657,4485,97,7602,653,2,8,9,2880
