"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.81205168774039,0.709929124267261,-2.55244027297889,0.0106971248475828
"regionAS",-0.509152945698901,0.267884743110874,-1.90064182000903,0.0573489438869475
"regionEU",-0.191161189971691,0.263666531950747,-0.725011204711411,0.46844515656109
"regionNA",-0.0148004118482076,0.269522415056425,-0.0549134729484709,0.956207398214851
"regionOC",0.500531665411633,0.54353507785942,0.92088199235062,0.357112041196618
"regionSA",-0.768770829830198,0.317907160185448,-2.41822433122218,0.0155964582121149
"early_total_time_ms",7.75587862876116e-08,1.14135305201805e-08,6.79533700378495,1.08059628177082e-11
"early_number_of_events",0.00406646897075217,0.000410132938998867,9.91500214705606,3.58248752585398e-23
"fieldDeviceTypeLastMOBILE_PHONE",2.00505962405671,0.210939623105931,9.5053721749081,1.99333933406616e-21
"fieldDeviceTypeLastTABLET",1.15247705712729,0.236312417689441,4.87692127394616,1.07754415506954e-06
"fieldPlatformLastANDROID_MOBILE",0.521758295222745,0.669402363049554,0.77943898023575,0.435721169293327
"fieldPlatformLastANDROID_TABLET",0.376965490195727,0.69011790956569,0.546233455139516,0.584905472049722
"fieldPlatformLastIOS",-1.99946280722303,0.820693115117681,-2.43630995605016,0.0148379640425286
"fieldPlatformLastIOS_MOBILE",-1.19906696222343,0.697265696764915,-1.71967008815536,0.085492427981354
"fieldPlatformLastIOS_TABLET",-0.4453878656468,0.704272467952901,-0.632408458251113,0.52712000839543
