"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set_number","Longterm_cutoff","Game_id"
"long_cut =  9 ; prob =  0",100,0,100,3.75477136402586,7.23778061416022,16.3223840162547,3.75477136402586,482,0,12355,0,2,8,9,2880
"long_cut =  9 ; prob =  0.01",96.2655601659751,17.5637393767705,82.4362606232295,4.3572166400601,8.33707663282724,18.4463703585911,20.5188128067305,464,18,10185,2170,2,8,9,2880
"long_cut =  9 ; prob =  0.02",96.2655601659751,21.1655200323756,78.8344799676244,4.54723637789102,8.68425977915029,19.1229805473129,23.9853548336839,464,18,9740,2615,2,8,9,2880
"long_cut =  9 ; prob =  0.03",94.1908713692946,25.9166329421287,74.0833670578713,4.72572082856251,8.99990088214888,19.6792371044647,28.4801744955987,454,28,9153,3202,2,8,9,2880
"long_cut =  9 ; prob =  0.04",89.2116182572614,36.8838526912181,63.1161473087819,5.2260573650948,9.87370838117107,21.1697518708153,38.8486406481265,430,52,7798,4557,2,8,9,2880
"long_cut =  9 ; prob =  0.05",82.1576763485477,47.0659651962768,52.9340348037232,5.70934256055363,10.6767322728498,22.3375451263538,48.3835787177689,396,86,6540,5815,2,8,9,2880
"long_cut =  9 ; prob =  0.06",74.4813278008299,55.7426143261837,44.2573856738163,6.16097477261026,11.3805674433349,23.1463571889104,56.4462101737166,359,123,5468,6887,2,8,9,2880
"long_cut =  9 ; prob =  0.07",68.4647302904564,62.8004856333468,37.1995143666532,6.69914738124239,12.2041420118343,24.0735337029472,63.0131650697203,330,152,4596,7759,2,8,9,2880
"long_cut =  9 ; prob =  0.08",59.3360995850622,69.5588830433023,30.4411169566977,7.0669631826044,12.6297195848973,23.9330543933054,69.1750408974059,286,196,3761,8594,2,8,9,2880
"long_cut =  9 ; prob =  0.09",54.5643153526971,73.2173209227034,26.7826790772966,7.36282194848824,12.9748396645289,23.9090909090909,72.5169432110306,263,219,3309,9046,2,8,9,2880
"long_cut =  9 ; prob =  0.1",49.792531120332,76.71388101983,23.28611898017,7.69971126082772,13.3370380661295,23.7859266600595,75.7030458829945,240,242,2877,9478,2,8,9,2880
"long_cut =  9 ; prob =  0.11",41.49377593361,80.259004451639,19.740995548361,7.57862826828344,12.8164049983979,21.8962119553317,78.8034587520449,200,282,2439,9916,2,8,9,2880
"long_cut =  9 ; prob =  0.12",37.9668049792531,82.7114528530959,17.2885471469041,7.89133247089263,13.0667618707604,21.5446197315752,81.0313936277947,183,299,2136,10219,2,8,9,2880
"long_cut =  9 ; prob =  0.13",32.7800829875519,84.7025495750708,15.2974504249292,7.71484375,12.4901185770751,19.8692152917505,82.7529796681468,158,324,1890,10465,2,8,9,2880
"long_cut =  9 ; prob =  0.14",30.2904564315353,86.22420072845,13.77579927155,7.9004329004329,12.5321888412017,19.3326271186441,84.124016514762,146,336,1702,10653,2,8,9,2880
"long_cut =  9 ; prob =  0.15",26.9709543568465,87.405908539053,12.594091460947,7.71055753262159,11.9926199261993,17.9856115107914,85.1367141855574,130,352,1556,10799,2,8,9,2880
"long_cut =  9 ; prob =  0.16",25.9336099585062,88.3690813435856,11.6309186564144,8.00256081946223,12.2309197651663,17.9083094555874,86.0247721430241,125,357,1437,10918,2,8,9,2880
"long_cut =  9 ; prob =  0.17",23.6514522821577,89.8664508296236,10.1335491703764,8.34553440702782,12.3376623376623,17.304189435337,87.3802290254732,114,368,1252,11103,2,8,9,2880
"long_cut =  9 ; prob =  0.18",20.746887966805,91.4204775394577,8.57952246054229,8.62068965517241,12.1802679658953,16.1917098445596,88.7668458362546,100,382,1060,11295,2,8,9,2880
