"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-32.3681520241908,1608.77501199646,-0.0201197506070302,0.983947844627845
"regionAS",12.1194819642535,680.695466053821,0.0178045580860314,0.985794768510351
"regionEU",14.5262441524375,680.695322729733,0.021340302580873,0.982974194340477
"regionNA",15.1361398032924,680.695327091604,0.0222362916283917,0.982259468207781
"regionOC",-0.379406443092927,1370.28043630998,-0.000276882332287125,0.999779079864732
"regionSA",13.496475997675,680.696051627106,0.0198274633228937,0.984181009623706
"early_total_time_ms",2.03746742252926e-08,9.56303741989164e-09,2.13056514689696,0.0331249834439523
"early_number_of_events",0.00175814902033729,0.000417144199697759,4.21472723727468,2.50080245576508e-05
"fieldDeviceTypeLastMOBILE_PHONE",1.81077351045002,0.529706676352277,3.41844570077834,0.000629798827579463
"fieldDeviceTypeLastTABLET",2.44768766767433,0.86261061185312,2.83753484369505,0.00454633842831896
"fieldPlatformLastANDROID_MOBILE",12.7795548821374,1457.67315224176,0.00876709217185191,0.993004962121715
"fieldPlatformLastANDROID_TABLET",13.1688449988997,1457.67325521387,0.00903415422612495,0.992791885872701
"fieldPlatformLastIOS",-3.35847633496052,1809.01596697953,-0.00185652111217574,0.99851871131871
"fieldPlatformLastIOS_MOBILE",12.5461926914449,1457.67321969917,0.00860699951257532,0.993132692763041
"fieldPlatformLastIOS_TABLET",11.7265430281585,1457.6733843718,0.00804469859564061,0.99358132842735
