"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set_number","Longterm_cutoff","Game_id","Target"
"long_cut =  6 ; prob =  0",100,0,100,46.6563816531181,63.6268004531478,81.3890901562985,46.6563816531181,7863,0,8990,0,2,8,6,2880,"longTermPlayer"
"long_cut =  6 ; prob =  0.01",91.8860485819662,8.82091212458287,91.1790878754171,46.8486577616392,62.0571183165128,77.0683107906302,47.576099210823,7225,638,8197,793,2,8,6,2880,"longTermPlayer"
"long_cut =  6 ; prob =  0.02",91.8606129975836,8.82091212458287,91.1790878754171,46.8417639429313,62.045269080445,77.0502645502645,47.5642318874978,7223,640,8197,793,2,8,6,2880,"longTermPlayer"
"long_cut =  6 ; prob =  0.03",91.8224596210098,8.82091212458287,91.1790878754171,46.8314198611922,62.0274914089347,77.023192301948,47.5464309025099,7220,643,8197,793,2,8,6,2880,"longTermPlayer"
"long_cut =  6 ; prob =  0.04",91.7334350756709,8.82091212458287,91.1790878754171,46.8072680077872,61.9859923516521,76.9600102428407,47.5048952708717,7213,650,8197,793,2,8,6,2880,"longTermPlayer"
"long_cut =  6 ; prob =  0.05",91.7079994912883,8.82091212458287,91.1790878754171,46.8003634475597,61.9741308925272,76.9419547588562,47.4930279475464,7211,652,8197,793,2,8,6,2880,"longTermPlayer"
"long_cut =  6 ; prob =  0.06",91.7079994912883,8.82091212458287,91.1790878754171,46.8003634475597,61.9741308925272,76.9419547588562,47.4930279475464,7211,652,8197,793,2,8,6,2880,"longTermPlayer"
"long_cut =  6 ; prob =  0.07",91.7079994912883,8.82091212458287,91.1790878754171,46.8003634475597,61.9741308925272,76.9419547588562,47.4930279475464,7211,652,8197,793,2,8,6,2880,"longTermPlayer"
"long_cut =  6 ; prob =  0.08",91.7079994912883,8.82091212458287,91.1790878754171,46.8003634475597,61.9741308925272,76.9419547588562,47.4930279475464,7211,652,8197,793,2,8,6,2880,"longTermPlayer"
"long_cut =  6 ; prob =  0.09",91.7079994912883,8.84315906562848,91.1568409343715,46.8064390497209,61.9794576475139,76.9452388066072,47.5048952708717,7211,652,8195,795,2,8,6,2880,"longTermPlayer"
"long_cut =  6 ; prob =  0.1",91.7079994912883,8.89877641824249,91.1012235817575,46.8216349587689,61.9927785419532,76.953450152605,47.5345635791847,7211,652,8190,800,2,8,6,2880,"longTermPlayer"
