"","Sensitivity","Specificity","One_minus_Specificity","Precision","F1_Score","F_beta_Score","Accuracy","True_Positives","False_Negatives","False_Positives","True_Negatives","Early_cutoff","Set_number","Longterm_cutoff","Game_id","Target"
"long_cut =  6 ; prob =  0",100,0,100,5.16821930813505,9.82848115549537,21.4141712150268,5.16821930813505,871,0,15982,0,2,8,6,2880,"spender"
"long_cut =  6 ; prob =  0.01",93.4557979334099,19.6283318733575,80.3716681266425,5.95944066183469,11.2044046799725,23.7414688210932,23.44389722898,814,57,12845,3137,2,8,6,2880,"spender"
"long_cut =  6 ; prob =  0.02",93.2261768082664,20.9548241771993,79.0451758228006,6.03941985868353,11.3439508242526,23.9825152105854,24.6899661781285,812,59,12633,3349,2,8,6,2880,"spender"
"long_cut =  6 ; prob =  0.03",93.2261768082664,21.2739331748217,78.7260668251783,6.06241600716739,11.3845075359271,24.0549828178694,24.9925829229217,812,59,12582,3400,2,8,6,2880,"spender"
"long_cut =  6 ; prob =  0.04",92.8817451205511,21.5117006632462,78.4882993367539,6.05856361866247,11.3751406074241,24.0244699174437,25.2002610811132,809,62,12544,3438,2,8,6,2880,"spender"
"long_cut =  6 ; prob =  0.05",92.8817451205511,21.6368414466275,78.3631585533725,6.06765169129228,11.3911574204449,24.053041565083,25.3189343143654,809,62,12524,3458,2,8,6,2880,"spender"
"long_cut =  6 ; prob =  0.06",92.8817451205511,21.7494681516706,78.2505318483294,6.07585429966204,11.4056111659383,24.0788142151319,25.4257402242924,809,62,12506,3476,2,8,6,2880,"spender"
"long_cut =  6 ; prob =  0.07",92.4225028702641,22.1248905018145,77.8751094981855,6.07501320655045,11.400651465798,24.0513893038542,25.7580252773987,805,66,12446,3536,2,8,6,2880,"spender"
"long_cut =  6 ; prob =  0.08",92.1928817451205,22.6880240270304,77.3119759729696,6.10228740785774,11.4468995010691,24.1242564441507,26.2801875037085,803,68,12356,3626,2,8,6,2880,"spender"
"long_cut =  6 ; prob =  0.09",89.8966704936854,27.7749968714804,72.2250031285196,6.35242576667207,11.8663332575585,24.7628083491461,30.9855812021598,783,88,11543,4439,2,8,6,2880,"spender"
"long_cut =  6 ; prob =  0.1",89.2078071182549,31.7607308221749,68.2392691778251,6.65068903535051,12.3785247729807,25.6148216522714,34.729721711268,777,94,10906,5076,2,8,6,2880,"spender"
"long_cut =  6 ; prob =  0.11",87.256027554535,35.9967463396321,64.0032536603679,6.91600691600692,12.8161888701518,26.2557866371865,38.6459384085919,760,111,10229,5753,2,8,6,2880,"spender"
"long_cut =  6 ; prob =  0.12",85.8783008036739,39.6195720185208,60.3804279814792,7.19369109444124,13.2753571745497,26.9413629160063,42.0103245712929,748,123,9650,6332,2,8,6,2880,"spender"
"long_cut =  6 ; prob =  0.13",85.1894374282434,41.9284194719059,58.0715805280941,7.40297316172803,13.6221773453277,27.4672392092989,44.1642437548211,742,129,9281,6701,2,8,6,2880,"spender"
